"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","区内全域","新宿区役所高齢者総合相談センター","ｼﾝｼﾞｭｸｸﾔｸｼｮｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5273-4593／03-5273-4254","03-5272-0352","160-8484","新宿区歌舞伎町1-4-1高齢者支援課内","35.693535","139.703476","JGD2011","月曜日～金曜日8時30分～17時（土曜日・日曜日・祝日・休日年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"2","四谷一丁目～同四丁目、四谷本塩町、四谷三栄町、四谷坂町、若葉一丁目～同三丁目、須賀町、左門町、信濃町、南元町、荒木町、舟町、愛住町、大京町、霞ヶ丘町、内藤町、片町、住吉町〔2番(9号)、8番(2～6号)〕、新宿一丁目～同四丁目、同五丁目〔1番～12番、13番(1･2･5号)、14番(1･3号)、15番～18番(18～22号)〕、歌舞伎町一丁目","四谷高齢者総合相談センター","ﾖﾂﾔｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5367-6770","03-3358-6922","160-0008","新宿区四谷三栄町10-16 四谷保健センター等複合施設4階","35.688583","139.716263","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"3","市谷田町一丁目～同三丁目、市谷本村町、市谷砂土原町一丁目～同三丁目、市谷左内町、市谷加賀町一丁目～同二丁目、市谷甲良町、市谷船河原町、市谷、延寺町、市谷鷹匠町、市谷山伏町、市谷八幡町、神楽坂一丁目～同六丁目、細工町、二十騎町、揚場町、津久戸町、東五軒町、西五軒町〔1番(4～12号)、2番～13番〕、赤城元町、南榎町、袋町、払方町、南町、北町、納戸町、南山伏町、北山伏町、白銀町、下宮比町、矢来町、若宮町、岩戸町、中町、箪笥町、横寺町、筑土八幡町、新小川町、神楽河岸","箪笥町高齢者総合相談センター","ﾀﾝｽﾏﾁｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3266-0753","03-3266-0786","162-0853","新宿区北山伏町2-12  あかね苑新館内","35.700195","139.729401","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"4","市谷薬王寺町、市谷柳町、市谷仲之町、赤城下町、天神町、榎町、東榎町、早稲田町、早稲田南町、馬場下町、原町一丁目～同三丁目、河田町〔2番(19号)〕、若松町〔5番(3～7号)、6番(11～20号)〕、喜久井町、築地町、弁天町、中里町、山吹町、改代町、水道町、早稲田鶴巻町、西早稲田二丁目〔1番(1～23号）西五軒町〔1番(1号)〕","榎町高齢者総合相談センター","ｴﾉｷﾁｮｳｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5227-1757","03-5227-1758","162-0851","新宿区弁天町50  牛込保健センター1階","35.703259","139.727463","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"5","住吉町〔1番、2番(1～4･10～18号)、3番～7番、8番(8～28号)、9番～15番〕、市谷台町、富久町、河田町〔1番、2番(1～17号)、3番～11番〕、若松町〔1番～4番、5番(2号)、6番(1～10号)、7番～38番〕、戸山一丁目～同三丁目〔1番～17番、19番、20番〕、余丁町〔1番～7番、8番(1･2･7～29号)、9番～14番〕、西早稲田二丁目〔2番〕","若松町高齢者総合相談センター","ﾜｶﾏﾂﾁｮｳｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5292-0710","03-5292-0716","162-0052","新宿区戸山2-27-2 戸山シニア活動館 1階","35.763374","139.857910","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"6","新宿五丁目〔13番(6～14号)、14番(5～12号)、18番(6～17号)〕、同六丁目、同七丁目、歌舞伎町二丁目、大久保一丁目～同三丁目、戸山三丁目〔18番〕、百人町一丁目～同三丁目〔1番～28番、29番(1～5号)、30番～32番〕、西新宿七丁目〔2番(9～13号)、3番～6番〕、余丁町〔8番(4～6号)〕","大久保高齢者総合相談センター","ｵｵｸﾎﾞｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5332-5585","03-5332-5592","169-0073","新宿区百人町2-8-13 Fiss1階","35.703243","139.699890","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"7","戸塚町一丁目、戸山三丁目21番、下落合一丁目〔1番(1～6号)、3番(20･22  号)、7番(13～18号)、12番･13番・.16番(15号)、17番〕、西早稲田一丁目、西早稲田二丁目〔1番(26～28号)、3番～21番〕、西早稲田三丁目、高田馬場一丁目、～高田馬場三丁目〔1番～7番、8番(1～30号)、9番～15番、16番(2～6･ 22･23号)、18番(13～26号)、19番～46番〕、高田馬場四丁目、百人町三丁目〔29番(6号)〕、百人町四丁目","戸塚高齢者総合相談センター","ﾄﾂｶｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3203-3143","03-3203-1550","169-0075","新宿区高田馬場1-17-20新宿区社会福祉協議会1階","36.236092","139.529495","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"8","上落合一丁目～上落合二丁目〔1番、2番、3番(1～8)、4番～14番、16番(1･ 22･23･25･号)〕、下落合一丁目1番(8号)、2番・3番(2～19号)、4番～6番、7番(1～11号)、8番～11番、14番、15番、16番(1～7号)〕、下落合二丁目～下落合四丁目、中落合一丁目〔1番～15番、17番、20番、21番〕、中落合二～中落合三丁目〔1番～13番、14番(3～7･15～25号)、15番、19番(9～19号)〕、中落合四丁目〔1番(1～5･12～19号)〕、中井二丁目〔1番～3番〕、高田馬場三丁目〔8番(31･32号)、16番(7～21号)、17番～18番(1～3･7号)〕","落合第一高齢者総合相談センター","ｵﾁｱｲﾀﾞｲｲﾁｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3953-4080","03-3950-4130","161-0032","新宿区中落合2-5-21 聖母ホーム内","35.718941","139.694168","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"9","上落合二丁目〔3番(9～13号)、15番、16番(5～20号)、17番～29番〕、同三丁目、西落合一丁目～同四丁目、中落合一丁目〔16番、18番、19番〕、同三丁目〔14番(8～14号)、16番～19番(2～8号)、20番～29番〕、同四丁目〔1番(9・ 10号)、2番～32番〕、中井一丁目、同二丁目〔4番～30番〕","落合第二高齢者総合相談センター","ｵﾁｱｲﾀﾞｲﾆｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5988-9281","03-5988-9282","161-0031","新宿区西落合4-11-21 落合第六小学校内幼稚園舎","35.727028","139.678955","JGD2011","月曜日～土曜日9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
"10","西新宿一丁目～同六丁目、西新宿七丁目〔1番、2番(4～7号)、7番～23番〕、同八丁目、北新宿一丁目～同四丁目","柏木・角筈高齢者総合相談センター","ｶｼﾜｷﾞ･ﾂﾉﾊｽﾞｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5309-2136","03-5309-2137","160-0023","新宿区西新宿4-8-35 西新宿シニア活動館3階","35.696354","139.694427","JGD2011","月曜日～土曜日、9時～17時30分（日曜日及び年末年始12月29日～1月3日を除く。)","","〇","","","","〇",""
