"","持続性せき／OR","持続性せき／p値","持続性たん／OR","持続性たん／p値","ぜい鳴／OR","ぜい鳴／p値","ぜん息様症状／OR","ぜん息様症状／p値","鼻炎様症状一年中／OR","鼻炎様症状一年中／p値","鼻炎様症状春／OR","鼻炎様症状春／p値"
"＜調査年＞","","0.745","","0.730","","0.595","","0.168","","0.387","","0.541"
"＜調査年＞／7年度","0.145","","-0.315","","-0.013","","-0.132","","-0.041","","0.007",""
"＜調査年＞／8年度","0.130","","0.198","","0.064","","0.046","","-0.102","","-0.098",""
"＜調査年＞／9年度","-0.276","","0.054","","0.067","","-0.037","","0.013","","0.070",""
"＜調査年＞／10年度","0.010","","0.089","","0.067","","-0.090","","-0.059","","0.011",""
"＜調査年＞／11年度","-0.008","","-0.027","","-0.185","","0.212","","0.188","","0.009",""
"＜地区＞","","0.217","","0.237","","0.050","","0.415","","0.006","","0.000"
"＜地区＞／青梅市","-0.015","","-0.543","","0.169","","0.015","","-0.152","","0.261",""
"＜地区＞／東大和市","-0.073","","-0.257","","-0.293","","-0.065","","-0.510","","-0.165",""
"＜地区＞／八王子市","0.420","","0.271","","0.043","","0.081","","-0.038","","0.338",""
"＜地区＞／中野区","-0.706","","0.057","","0.178","","-0.268","","0.195","","-0.180",""
"＜地区＞／豊島区","0.180","","0.132","","-0.156","","0.131","","0.286","","-0.142",""
"＜地区＞／品川区","-0.185","","-0.171","","-0.202","","-0.033","","0.082","","-0.097",""
"＜地区＞／足立区","0.378","","0.510","","0.262","","0.139","","0.136","","-0.015",""
"学年","0.86","0.227","0.93","0.630","0.85","0.012","0.92","0.145","1.03","0.618","1.13","0.002"
"転居あり","1.24","0.305","1.51","0.087","1.17","0.148","1.22","0.051","1.21","0.067","1.01","0.891"
"兄弟数３人以上","1.24","0.298","0.99","0.980","1.03","0.796","1.27","0.015","0.80","0.045","0.98","0.778"
"母親の喫煙歴","1.04","0.881","1.05","0.869","0.64","0.004","0.79","0.073","0.79","0.087","0.83","0.027"
"二車線道路直面","1.34","0.211","1.39","0.208","0.90","0.419","1.16","0.200","0.85","0.217","1.07","0.332"
"鉄筋住宅","0.84","0.417","0.88","0.620","0.80","0.056","1.25","0.036","0.99","0.930","0.87","0.036"
"非排気型暖房器具使用","1.08","0.702","1.15","0.550","1.04","0.716","0.90","0.290","1.10","0.349","1.10","0.125"
"２歳以前の呼吸器疾患","3.46","0.000","3.07","0.000","2.75","0.000","2.75","0.000","1.69","0.000","1.60","0.000"
"母乳栄養","1.10","0.647","1.02","0.937","1.00","1.000","1.16","0.131","0.97","0.770","1.05","0.432"
"アレルギー歴","5.18","0.000","3.19","0.000","3.26","0.000","7.94","0.000","2.10","0.000","1.89","0.000"
