"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","区内全域","高齢福祉課高齢者相談係","ｺｳﾚｲﾌｸｼｶｺｳﾚｲｼｬｿｳﾀﾞﾝｶﾞｶﾘ","（代表）03-3812-7111","03-5803-1350","112-8555","文京区春日1-16-21","35.708336","139.752411","JGD2011","平日8時30分～17時15分","","","","","〇","〇","〇"
"2","後楽、春日、小石川、千石、白山","高齢者あんしん相談センター富坂","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾄﾐｻｶ","03-3942-8128","03-3942-1877","112-0001","文京区白山5-16-3","35.724648","139.746536","JGD2011","〔月曜日～金曜日〕9時～19時／〔土・日曜日・祝日・年末年始〕9時～17時30分","","〇","","","","〇","〇"
"3","後楽、春日、小石川、千石、白山","高齢者あんしん相談センター富坂分室","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾄﾐｻｶﾌﾞﾝｼﾂ","03-5805-5032","03-5805-5066","112-0002","文京区小石川2－18-18","35.711956","139.750427","JGD2011","月曜日～土曜日9時～17時30分","","〇","","","","〇","〇"
"4","関口、水道、大塚、小日向、目白台、音羽","高齢者あんしん相談センター大塚","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾄﾐｻｶｵｵﾂｶ","03-3941-9678","03-3941-9716","112-0012","文京区大塚4-50-1","35.724522","139.730682","JGD2011","〔月曜日～金曜日〕9時～19時／〔土・日曜日・祝日・年末年始〕9時～17時30分","","〇","","","","〇","〇"
"5","関口、水道、大塚、小日向、目白台、音羽","高齢者あんしん相談センター大塚分室","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾄﾐｻｶｵｵﾂｶﾌﾞﾝｼﾂ","03-6304-1093","03-6304-1094","112-0013","文京区音羽1-15-12","35.715298","139.729431","JGD2011","〔月曜日～土曜日〕9時～17時30分","","〇","","","","〇","〇"
"6","本郷、湯島、弥生、根津、西片","高齢者あんしん相談センター本富士","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾓﾄﾌｼﾞ","03-3811-8088","03-3811-2886","113-0034","文京区湯島4-9-8","35.709694","139.764343","JGD2011","〔月曜日～金曜日〕9時～19時／〔土・日曜日・祝日・年末年始〕9時～17時30分","","〇","","","","〇","〇"
"7","本郷、湯島、弥生、根津、西片","高齢者あんしん相談センター本富士分室","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾓﾄﾌｼﾞﾌﾞﾝｼﾂ","03-3813-7888","03-3813-1555","113-0033","文京区西片2-19-15","35.716412","139.757065","JGD2011","〔月曜日～土曜日〕9時～17時30分","","〇","","","","〇","〇"
"8","本駒込、千駄木、向丘","高齢者あんしん相談センター駒込","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰｺﾏｺﾞﾒ","03-3827-5422","03-5832-6173","113-0022","文京区千駄木5-19-2","35.726555","139.760712","JGD2011","〔月曜日～金曜日〕9時～19時／〔土・日曜日・祝日・年末年始〕9時～17時30分","","〇","","","","〇","〇"
"9","本駒込、千駄木、向丘","高齢者あんしん相談センター駒込分室","ｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰｺﾏｺﾞﾒﾌﾞﾝｼﾂ","03-6912-1461","03-6912-1462","113-0021","文京区本駒込2-28-10","35.730640","139.746964","JGD2011","〔月曜日～土曜日〕9時～17時30分","","〇","","","","〇","〇"
"10","区内全域","文京区消費生活センター","ﾌﾞﾝｷｮｳｸｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","03-5803-1105","03-5803-1105","112-8555","文京区春日1-16-21","35.708336","139.752411","JGD2011","平日8時30分～17時15分","","","","","〇","","〇"
