"","合計","生命にかかわる危険な状態","心身の健康に悪影響がある状態","意思が無視・軽視されている状態","わからない","無回答"
"担当ケアマネジャー(回答数)","1991","217","1023","613","108","30"
"担当ケアマネジャー(%)","100.0","10.9","51.4","30.8","5.4","1.5"
"居宅介護支援(回答数)","1365","141","680","460","61","23"
"居宅介護支援(%)","100.0","10.3","49.8","33.7","4.5","1.7"
"地域型在宅介護支援センター(回答数)","1117","139","598","295","69","16"
"地域型在宅介護支援センター(%)","100.0","12.4","53.5","26.4","6.2","1.4"
"基幹型在宅介護支援センター(回答数)","532","90","296","117","23","6"
"基幹型在宅介護支援センター(%)","100.0","16.9","55.6","22.0","4.3","1.1"
"訪問介護(回答数)","307","32","143","96","26","10"
"訪問介護(%)","100.0","10.4","46.6","31.3","8.5","3.3"
"訪問看護(回答数)","336","30","174","101","26","5"
"訪問看護(%)","100.0","8.9","51.8","30.1","7.7","1.5"
"通所介護(回答数)","512","41","275","159","29","8"
"通所介護(%)","100.0","8.0","53.7","31.1","5.7","1.6"
"病院(回答数)","55","8","23","14","10","0"
"病院(%)","100.0","14.5","41.8","25.5","18.2","0.0"
"老人保健施設(回答数)","227","26","124","55","20","2"
"老人保健施設(%)","100.0","11.5","54.6","24.2","8.8","0.9"
"都道府県保健所(回答数)","37","9","21","4","2","1"
"都道府県保健所(%)","100.0","24.3","56.8","10.8","5.4","2.7"
"政令、中核、特別区保健所(回答数)","124","21","63","28","10","2"
"政令、中核、特別区保健所(%)","100.0","16.9","50.8","22.6","8.1","1.6"
"市町村保健センター(回答数)","265","39","135","75","12","4"
"市町村保健センター(%)","100.0","14.7","50.9","28.3","4.5","1.5"
