"支出月","科目","支出目的","支出額(円)","支出相手先"
"H23/04","交付金交付","介護職員処遇改善交付金（4月分）","468091810","東京都国民健康保険団体連合会"
"H23/05","交付金交付","介護職員処遇改善交付金（5月分）","1480811653","東京都国民健康保険団体連合会"
"H23/06","交付金交付","介護職員処遇改善交付金（6月分）","1009831079","東京都国民健康保険団体連合会"
"H23/07","交付金交付","介護職員処遇改善交付金（7月分）","1038958833","東京都国民健康保険団体連合会"
"H23/08","交付金交付","介護職員処遇改善交付金（8月分）","1029256399","東京都国民健康保険団体連合会"
"H23/09","交付金交付","介護職員処遇改善交付金（9月分）","1048130440","東京都国民健康保険団体連合会"
"H23/10","交付金交付","介護職員処遇改善交付金（10月分）","1066133813","東京都国民健康保険団体連合会"
"H23/11","交付金交付","介護職員処遇改善交付金（11月分）","1040329554","東京都国民健康保険団体連合会"
"H23/12","交付金交付","介護職員処遇改善交付金（12月分）","1068070994","東京都国民健康保険団体連合会"
"H24/01","交付金交付","介護職員処遇改善交付金（1月分）","1046560120","東京都国民健康保険団体連合会"
"H24/02","交付金交付","介護職員処遇改善交付金（2月分）","1066120062","東京都国民健康保険団体連合会"
"H24/03","交付金交付","介護職員処遇改善交付金（3月分）","1043690976","東京都国民健康保険団体連合会"
"H24/05","交付金返納","実績報告による返納金等","(85,986,808)","交付金受給事業者"
"","交付金返納","介護報酬の過誤調整等に基づく交付金の返納","(489,404)","交付金受給事業者"
"","","","12319509521",""
