"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","1206","2666","2176","1315","448","214","92","97","1.2"
"ＴＯＴＡＬ","100","14.7","32.5","26.5","16.0","5.5","2.6","1.1","1.2",""
"性別・年代／女性計","7526","1084","2459","2014","1212","401","192","83","81","1.2"
"性別・年代／女性計","100","14.4","32.7","26.8","16.1","5.3","2.6","1.1","1.1",""
"性別・年代／女性２０代","3297","515","1051","869","550","168","80","40","24","1.2"
"性別・年代／女性２０代","100","15.6","31.9","26.4","16.7","5.1","2.4","1.2","0.7",""
"性別・年代／女性３０代","1612","233","542","412","258","95","40","19","13","1.2"
"性別・年代／女性３０代","100","14.5","33.6","25.6","16.0","5.9","2.5","1.2","0.8",""
"性別・年代／女性４０代","1560","216","519","426","238","85","40","16","20","1.2"
"性別・年代／女性４０代","100","13.8","33.3","27.3","15.3","5.4","2.6","1.0","1.3",""
"性別・年代／女性５０代以上","1005","114","331","292","155","52","32","7","22","1.2"
"性別・年代／女性５０代以上","100","11.3","32.9","29.1","15.4","5.2","3.2","0.7","2.2",""
"性別・年代／男性計","380","78","118","83","49","25","12","4","11","1.3"
"性別・年代／男性計","100","20.5","31.1","21.8","12.9","6.6","3.2","1.1","2.9",""
"性別・年代／男性２０代","281","63","85","57","36","20","10","1","9","1.4"
"性別・年代／男性２０代","100","22.4","30.2","20.3","12.8","7.1","3.6","0.4","3.2",""
"性別・年代／男性３０代以上","99","15","33","26","13","5","2","3","2","1.2"
"性別・年代／男性３０代以上","100","15.2","33.3","26.3","13.1","5.1","2.0","3.0","2.0",""
"性別・年代／無回答","308","44","89","79","54","22","10","5","5","1.1"
"性別・年代／無回答","100","14.3","28.9","25.6","17.5","7.1","3.2","1.6","1.6",""
