"サービスの種類","事項（単位）","平成25年度実績","平成27年度見込み","平成28年度見込み","平成29年度見込み"
"障害児通所支援/児童発達支援","サービス量（人日分）","36195","61864","68481","75157"
"障害児通所支援/児童発達支援","利用者数（人）","6403","8582","9442","10282"
"障害児通所支援/放課後等デイサービス","サービス量（人日分）","50305","97429","115065","132845"
"障害児通所支援/放課後等デイサービス","利用者数（人）","5775","9433","10746","12039"
"障害児通所支援/保育所等訪問支援","サービス量（人日分）","53","305","525","623"
"障害児通所支援/保育所等訪問支援","利用者数（人）","41","146","310","379"
"障害児通所支援/医療型児童発達支援","サービス量（人日分）","1488","2139","2355","2502"
"障害児通所支援/医療型児童発達支援","利用者数（人）","189","237","257","272"
"入所支援障害児/福祉型児童入所支援","利用者数（人）","441","441","441","441"
"入所支援障害児/医療型児童入所支援","利用者数（人）","174","174","174","174"
"障害児相談支援","利用者数（人）","367","2326","2709","3064"
