"死因別","総数(件)","総数／男(件)","総数／女(件)","1月／男(件)","1月／女(件)","2月／男(件)","2月／女(件)","3月／男(件)","3月／女(件)","4月／男(件)","4月／女(件)","5月／男(件)","5月／女(件)","6月／男(件)","6月／女(件)","7月／男(件)","7月／女(件)","8月／男(件)","8月／女(件)","9月／男(件)","9月／女(件)","10月／男(件)","10月／女(件)","11月／男(件)","11月／女(件)","12月／男(件)","12月／女(件)"
"総数","1079","673","406","87","55","55","38","57","29","49","29","36","22","29","12","64","43","88","45","38","25","46","29","56","29","68","50"
"交通事故","163","114","49","12","6","10","4","10","4","10","3","9","3","10","1","11","3","10","1","4","4","5","8","16","4","7","8"
"転倒・転落","292","197","95","17","9","15","6","19","5","16","11","11","7","10","4","14","10","15","5","15","12","23","8","16","8","26","10"
"溺死","100","59","41","18","5","8","10","7","4","3","1","2","2","","3","2","1","2","","2","","3","","6","3","6","12"
"煙・火災及び火炎による傷害","42","24","18","4","3","4","5","1","1","","","","1","1","","1","2","1","","2","","3","2","1","1","6","3"
"窒息","263","141","122","26","19","7","11","12","11","16","12","10","6","5","4","8","9","9","10","10","9","9","9","13","10","16","12"
"中毒","50","28","22","3","7","2","1","2","3","1","1","4","2","3","","2","2","1","1","4","","","2","3","1","3","2"
"催眠剤・向精神薬等","18","10","8","","1","","1","","2","","","","","1","","1","2","1","1","3","","","","2","","2","1"
"麻薬・精神変容薬［幻覚発現薬］","2","","2","","1","","","","","","","","","","","","","","","","","","","","1","",""
"アルコール","26","17","9","3","3","2","","2","1","1","1","3","1","2","","1","","","","1","","","2","1","","1","1"
"一酸化炭素等のガス・蒸気","1","","1","","1","","","","","","","","","","","","","","","","","","","","","",""
"その他","3","1","2","","1","","","","","","","1","1","","","","","","","","","","","","","",""
"その他","169","110","59","7","6","9","1","6","1","3","1","","1","","","26","16","50","28","1","","3","","1","2","4","3"
"凍死","34","20","14","7","5","5","1","4","1","","1","","1","","","","","","","","","","","","2","4","3"
"鈍器・鈍体","3","3","","","","","","","","1","","","","","","","","","","","","1","","1","","",""
"圧死","1","1","","","","","","","","","","","","","","","","1","","","","","","","","",""
"機械","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"熱傷","4","3","1","","","","","1","","","","","","","","1","1","","","","","1","","","","",""
"爆発","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"感電","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"その他","127","83","44","","1","4","","1","","2","","","","","","25","15","49","28","1","","1","","","","",""
