"","総数","１アレルギー研修／施設数","１アレルギー研修／割合","２心肺蘇生、またはAED／施設数","２心肺蘇生、またはAED／割合","３研修には参加していない／施設数","３研修には参加していない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","1439","90.6","1083","68.2","50","3.1","14","0.9"
"認証保育所＊","527","422","80.1","343","65.1","41","7.8","8","1.5"
"認定こども園＊","95","72","75.8","53","55.8","11","11.6","3","3.2"
"幼稚園＊","666","355","53.3","436","65.5","128","19.2","10","1.5"
"ベビーホテル","331","181","54.7","138","41.7","100","30.2","8","2.4"
"家庭的保育","596","142","23.8","367","61.6","134","22.5","44","7.4"
"学童保育","1169","957","81.9","689","58.9","96","8.2","19","1.6"
"上記以外の施設","376","206","54.8","191","50.8","93","24.7","6","1.6"
"総数","5348","3774","70.6","3300","61.7","653","12.2","112","2.1"
"＊前回調査施設 (再掲）","2876","2288","79.6","1915","66.6","230","8.0","35","1.2" 
