"施設名","所在地","通所定員／H29.3","登録者数／H29.3","短期入所病床数／H29.3"
"1／都立府中療育センター","府中市","30","29","14"
"2／都立北療育医療センター","北区","30","37","2"
"3／都立北療育医療センター城北分園","足立区","30","29",""
"4／都立北療育医療センター城南分園","大田区","20","27",""
"5／都立東大和療育センター","東大和市","30","38","28"
"6／都立東大和療育センターよつぎ療育園","葛飾区","25","29",""
"7／都立東部療育センター","江東区","35","55","24"
"8／東京小児療育病院地域支援センター","武蔵村山市","36","47","25"
"9／あけぼの学園（成人）","世田谷区","20","24",""
"10／あけぼの学園（児童）","世田谷区","5","14",""
"11／あすなろ","国立市","10","6",""
"12／高円寺療育センター杉の実","杉並区","15","18",""
"13／島田療育センター","多摩市","45","54","3"
"14／秋津療育園通園センター","東村山市","15","15","2"
"15／上代継在宅地域支援センター","あきる野市","30","41",""
"16／日の出福祉園","日の出町","7","7",""
"17／八王子小児・障害メディカルセンター内重症心身障害者通所施設（島田療育センターはちおうじ）","八王子市","30","23",""
"18／多摩療護園","日野市","9","12",""
"19／あゆみの家成人部","東村山市","20","20",""
"20／練馬区立大泉学園町福祉園","練馬区","5","9",""
"21／八王子市障害者療育センター","八王子市","5","5",""
"22／国分寺市障害者センター","国分寺市","9","8",""
"23／新橋はつらつ太陽あおぞら","港区","5","6",""
"24／啓光学園（なかまの樹）","多摩市","8","6",""
"25／港区立障害保健福祉センター重症心身障害児通園事業","港区","5","8",""
"26／町田福祉園","町田市","5","6",""
"27／練馬区立心身障害者福祉センター","練馬区","6","7",""
"28／調布市ディセンターまなびや","調布市","10","10",""
"29／板橋区立三園福祉園","板橋区","7","9",""
"30／大田区立大田生活実習所","大田区","5","4",""
"31／品川区重症心身障害者通所事業所「ピッコロ(Piccolo)」","品川区","5","8",""
"32／滝乃川学園成人部","国立市","5","5",""
"33／療育室つばさ","足立区","5","17",""
"34／ほわわ墨田","墨田区","5","15",""
"35／あきやまケアルーム","三鷹市","10","9",""
"36／ひまわり","東村山市","5","12",""
"37／ほわわ世田谷","世田谷区","5","18",""
"38／練馬区立氷川台福祉園","練馬区","9","7",""
"39／障害児保育園ヘレン","杉並区","5","4",""
"40／西東京市生活介護事業所くろーばー","西東京市","5","4",""
"41／こぱん","文京区","5","4",""
"42／楽患チャイルド","足立区","5","9",""
"43／ここね","足立区","5","25",""
"44／中野区立かみさぎこぶし園","中野区","5","4",""
"45／障害児保育園ヘレンすがも","豊島区","5","5",""
"46／足立区障がい福祉センター生活体験室","足立区","5","5",""
"47／障害児保育園ヘレン経堂","世田谷区","5","5",""
"心身障害児総合医療療育センター","板橋区","","","12"
"緑成会整育園","小平市","","","2"
"南多摩整形外科病院","町田市","","","1"
"国立精神・神経医療研究センター病院","小平市","","","2"
"都立大塚病院","豊島区","","","2"
"多摩北部医療センター","東村山市","","","2"
"国立成育医療研究センター","世田谷区","","","2"
"","合計","606","759","121"
