"年・死因別","検案総数(件)","解剖数(件)","総数／男(件)","総数／女(件)","0～4／男(件)","0～4／女(件)","5～9／男(件)","5～9／女(件)","10～14／男(件)","10～14／女(件)","15～19／男(件)","15～19／女(件)","20～24／男(件)","20～24／女(件)","25～29／男(件)","25～29／女(件)","30～34／男(件)","30～34／女(件)","35～39／男(件)","35～39／女(件)","40～44／男(件)","40～44／女(件)","45～49／男(件)","45～49／女(件)","50～54／男(件)","50～54／女(件)","55～59／男(件)","55～59／女(件)","60～64／男(件)","60～64／女(件)","65以上／男(件)","65以上／女(件)","65～69／男(件)","65～69／女(件)","70～74／男(件)","70～74／女(件)","75～79／男(件)","75～79／女(件)","80～84／男(件)","80～84／女(件)","85以上／男(件)","85以上／女(件)","年齢・性別不詳"
"平成24年","13949","2451","8715","5232","33","24","6","12","5","6","33","21","104","57","147","80","166","75","228","97","328","129","417","115","469","159","600","129","1046","245","5134","4083","1037","325","976","442","1027","735","937","933","1157","1648","2"
"平成25年","13593","2338","8638","4955","32","25","6","","8","3","28","18","111","64","146","63","141","86","205","76","298","108","418","138","521","156","584","152","891","243","5249","3823","1052","284","1044","450","1078","690","991","887","1084","1512",""
"","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","",""
"平成26年","13301","2225","8486","4813","24","26","9","5","9","4","38","13","105","41","126","68","144","69","216","95","290","105","387","126","497","125","550","131","890","189","5201","3816","1075","314","1112","464","982","700","905","876","1127","1462","2"
"","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"平成27年","13425","2314","8627","4797","33","26","5","3","9","2","32","15","97","48","116","62","153","63","197","55","281","103","398","142","497","151","594","148","781","176","5434","3803","1089","308","1151","435","1046","657","1030","876","1118","1527","1"
"1病死","9173","1717","5707","3466","15","6","1","3","1","1","2","2","9","4","14","4","41","9","62","17","127","28","198","64","285","65","363","70","512","116","4077","3077","734","197","791","319","766","508","837","737","949","1316",""
"感染症及び寄生虫症","72","25","54","18","1","","","","","","","","","","","","","","","","","","4","","5","2","7","","5","2","32","14","8","","3","1","9","2","7","6","5","5",""
"結核","6","4","6","","","","","","","","","","","","","","","","","","","","2","","1","","","","1","","2","","1","","","","","","","","1","",""
"その他","66","21","48","18","1","","","","","","","","","","","","","","","","","","2","","4","2","7","","4","2","30","14","7","","3","1","9","2","7","6","4","5",""
"新生物","410","112","273","137","","","","","","","","","","","1","1","","","","2","1","3","1","5","10","6","15","6","35","8","210","106","53","24","57","11","37","27","35","19","28","25",""
"内分泌・栄養・代謝・免疫疾患","308","101","204","104","","","","","","1","","","","1","1","","6","1","8","3","10","1","18","8","10","4","14","6","25","6","112","73","45","6","23","18","25","15","12","13","7","21",""
"糖尿病","148","37","107","41","","","","","","","","","","","1","","2","1","5","1","5","","10","4","7","","9","3","12","5","56","27","23","1","16","12","10","6","5","3","2","5",""
"その他","160","64","97","63","","","","","","1","","","","1","","","4","","3","2","5","1","8","4","3","4","5","3","13","1","56","46","22","5","7","6","15","9","7","10","5","16",""
"神経系の疾患","111","35","59","52","1","1","1","","","","","1","1","2","1","2","1","","1","","3","2","3","","2","3","3","1","3","2","38","39","5","5","4","8","8","11","12","9","9","6",""
"循環器系の疾患","6421","984","3867","2554","1","","","1","1","","","1","8","1","6","1","23","4","40","5","84","15","132","42","178","30","230","34","309","80","2855","2340","466","137","508","232","545","389","633","579","703","1003",""
"高血圧性心疾患","181","24","111","70","","","","","","","","","","","","","1","","2","","3","","1","2","9","1","4","2","8","2","83","63","12","","12","1","14","9","16","21","29","32",""
"虚血性心疾患","4441","429","2698","1743","","","","","1","","","","","","1","","8","","19","2","35","5","60","3","92","9","141","12","202","37","2139","1675","317","75","377","161","422","266","482","429","541","744",""
"その他の心疾患","424","206","257","167","1","","","1","","","","","8","1","4","","4","1","8","1","18","4","19","12","20","9","20","6","25","7","130","125","24","8","21","14","16","17","36","28","33","58",""
