"","週1以上","月1以上","月1以上","月1未満","週1以上","月1未満"
"1持続性せき／検定結果","","","","*","",""
"2持続性たん／検定結果","","","","","","*"
"3持続性せきたん／検定結果","","","","**","","*"
"4ぜんそく様症状現在／検定結果","","","","","",""
"5ぜんそく様症状寛解／検定結果","","","","","","**"
"6ぜん鳴症状／検定結果","","","","","",""
"7慢性気管支炎／検定結果","","","","","",""
"8肺気腫／検定結果","","","","","",""
"9じんましん／検定結果","","","","","",""
"10アトピー性皮膚炎／検定結果","","","","","","*"
"11アレルギー性鼻炎／検定結果","","","","","",""
"12アレルギー性結膜炎／検定結果","","","","","",""
"13花粉症／検定結果","","*","","","**",""
"14食物アレルギー／検定結果","","","","","",""
