"","総数","入手したことがない／人数","入手したことがない／割合","主治医／人数","主治医／割合","保健所・保健センター（健診会場など）／人数","保健所・保健センター（健診会場など）／割合","パンフレット／人数","パンフレット／割合","ホームページ（日本アレルギー協会、日本小児アレルギー学会、食物アレルギー研究会、環境再生保全機構、行政機関、専門病院）／人数","ホームページ（日本アレルギー協会、日本小児アレルギー学会、食物アレルギー研究会、環境再生保全機構、行政機関、専門病院）／割合","その他のホームページ／人数","その他のホームページ／割合","ブログ／人数","ブログ／割合","自治体が主催する講演会や公開講座など／人数","自治体が主催する講演会や公開講座など／割合","患者会の催し／人数","患者会の催し／割合","本や雑誌／人数","本や雑誌／割合","テレビや新聞などのマスメディア／人数","テレビや新聞などのマスメディア／割合","その他／人数","その他／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","103","12.8","504","62.5","243","30.1","193","23.9","229","28.4","79","9.8","85","10.5","25","3.1","3","0.4","340","42.1","341","42.3","39","4.8","23","2.9"
"１呼吸器症状、ぜん息／なし","2558","539","21.1","1059","41.4","769","30.1","554","21.7","604","23.6","172","23.6","189","23.6","63","2.5","5","0.2","1045","40.9","1070","41.8","131","5.1","69","2.7"
"２食物アレルギー／あり","733","51","7.0","551","75.2","242","33.0","178","24.3","270","36.8","81","36.8","99","36.8","29","4.0","3","0.4","331","45.2","305","41.6","32","4.4","18","2.5"
"２食物アレルギー／なし","2643","588","22.2","1026","38.8","778","29.4","574","21.7","568","21.5","170","21.5","177","21.5","59","2.2","5","0.2","1062","40.2","1113","42.1","137","5.2","76","2.9"
"３アトピー性皮膚炎／あり","677","82","12.1","450","66.5","200","29.5","158","23.3","226","33.4","64","33.4","88","33.4","22","3.2","3","0.4","289","42.7","272","40.2","26","3.8","25","3.7"
"３アトピー性皮膚炎／なし","2684","633","23.6","1108","41.3","815","30.4","593","22.1","602","22.4","185","22.4","189","22.4","66","2.5","5","0.2","1096","40.8","1138","42.4","143","5.3","69","2.6"
"４アレルギー性鼻炎／あり","710","102","14.4","399","56.2","211","29.7","185","26.1","187","26.3","58","26.3","86","26.3","24","3.4","1","0.1","316","44.5","306","43.1","28","3.9","30","4.2"
"４アレルギー性鼻炎／なし","2646","614","23.2","1156","43.7","793","30.0","563","21.3","637","24.1","192","24.1","188","24.1","64","2.4","7","0.3","1067","40.3","1100","41.6","141","5.3","63","2.4"
"５アレルギー性結膜炎／あり","288","36","12.5","186","64.6","83","28.8","76","26.4","80","27.8","28","27.8","42","27.8","7","2.4","2","0.7","136","47.2","121","42.0","8","2.8","11","3.8"
"５アレルギー性結膜炎／なし","3052","675","22.1","1361","44.6","922","30.2","666","21.8","742","24.3","220","24.3","233","24.3","79","2.6","6","0.2","1239","40.6","1280","41.9","158","5.2","82","2.7"
"６じんましん／あり","694","92","13.3","425","61.2","221","31.8","167","24.1","215","31.0","79","31.0","91","31.0","27","3.9","3","0.4","323","46.5","311","44.8","41","5.9","18","2.6"
"６じんましん／なし","2665","622","23.3","1133","42.5","793","29.8","581","21.8","612","23.0","169","23.0","184","23.0","61","2.3","5","0.2","1064","39.9","1100","41.3","127","4.8","74","2.8"
"７その他のアレルギー疾患／あり","91","11","12.1","59","64.8","30","33.0","22","24.2","28","30.8","11","30.8","9","30.8","2","2.2","0","0.0","42","46.2","41","45.1","4","4.4","5","5.5"
"７その他のアレルギー疾患／なし","3196","693","21.7","1458","45.6","966","30.2","710","22.2","771","24.1","228","24.1","252","24.1","85","2.7","8","0.3","1301","40.7","1332","41.7","161","5.0","87","2.7"
"何らかのアレルギーの症状または診断／あり","1996","275","13.8","1162","58.2","613","30.7","467","23.4","566","28.4","187","28.4","207","28.4","58","2.9","5","0.3","852","42.7","846","42.4","96","4.8","59","3.0"
"何らかのアレルギーの症状または診断／なし","1435","375","26.1","438","30.5","421","29.3","294","20.5","285","19.9","70","19.9","77","19.9","30","2.1","3","0.2","561","39.1","595","41.5","75","5.2","36","2.5" 
