"基金名称","介護職員処遇改善等臨時特例基金＜(3)介護職員処遇改善交付金（その他事業）＞"
"基金設置法人名","東京都"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）(百万円)","315"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（国からの交付決定額）(百万円)","315"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（運用収入額）(百万円)","0"
"B／平成23年度下半期終了時におけるAの金額の残高（A-C）(百万円)","220"
"C／執行（支出）済み額(百万円)","95"
"E／翌半期以降の執行見込みについて","平成24年度分の東京都国民健康保険団体連合会への支払事務委託料、事務補助職員人件費等、合計33,19千円執行見込み。その他についても順次執行予定。"
"E／（執行見込額）(百万円)","56"
"執行済み額（C)の平成21年度通年合計(百万円)","28"
"執行済み額（C)の平成22年度通年合計(百万円)","35"
"執行済み額（C)の平成23年度上半期合計(百万円)","16"
"執行済み額（C)の平成23年度下半期合計(百万円)","16"
