"","実施済み","未実施","26実施済み"
"高齢者虐待の対応の窓口となる部局の住民への周知／市町村数","55","7","53"
"高齢者虐待の対応の窓口となる部局の住民への周知／構成割合(%)","88.7","11.3","85.5"
"地域包括支援センター等の関係者への高齢者虐待に関する研修／市町村数","49","13","52"
"地域包括支援センター等の関係者への高齢者虐待に関する研修／構成割合(%)","79.0","21.0","83.9"
"高齢者虐待について、講演会や市町村広報紙等による、住民への啓発活動／市町村数","45","17","45"
"高齢者虐待について、講演会や市町村広報紙等による、住民への啓発活動／構成割合(%)","72.6","27.4","72.6"
"居宅介護サービス事業者に法について周知／市町村数","47","15","47"
"居宅介護サービス事業者に法について周知／構成割合(%)","75.8","24.2","75.8"
"介護保険施設に法について周知／市町村数","44","18","39"
"介護保険施設に法について周知／構成割合(%)","71.0","29.0","62.9"
"独自の対応のマニュアル、業務指針等の作成／市町村数","49","13","49"
"独自の対応のマニュアル、業務指針等の作成／構成割合(%)","79.0","21.0","79.0"
"民生委員、住民、社会福祉協議会等からなる「早期発見・見守りネットワーク」の構築への取組／市町村数","44","18","46"
"民生委員、住民、社会福祉協議会等からなる「早期発見・見守りネットワーク」の構築への取組／構成割合(%)","71.0","29.0","74.2"
"介護保険サービス事業者等からなる「保健医療福祉サービス介入支援ネットワーク」の構築への取組／市町村数","26","36","26"
"介護保険サービス事業者等からなる「保健医療福祉サービス介入支援ネットワーク」の構築への取組／構成割合(%)","41.9","58.1","41.9"
"行政機関、法律関係者、医療機関等からなる「関係専門機関介入支援ネットワーク」の構築への取組／市町村数","27","35","30"
"行政機関、法律関係者、医療機関等からなる「関係専門機関介入支援ネットワーク」の構築への取組／構成割合(%)","43.5","56.5","48.4"
"成年後見制度の市区町村長申立が円滑にできるように役所・役場内の体制強化／市町村数","52","10","51"
"成年後見制度の市区町村長申立が円滑にできるように役所・役場内の体制強化／構成割合(%)","83.9","16.1","82.3"
"法に定める警察署長に対する援助要請等に関する警察署担当者との協議／市町村数","43","19","38"
"法に定める警察署長に対する援助要請等に関する警察署担当者との協議／構成割合(%)","69.4","30.6","61.3"
"老人福祉法の規定による措置を採るために必要な居室確保のための関係機関との調整／市町村数","49","13","47"
"老人福祉法の規定による措置を採るために必要な居室確保のための関係機関との調整／構成割合(%)","79.0","21.0","75.8"
"虐待を行った養護者に対する相談、指導または助言／市町村数","53","9","53"
"虐待を行った養護者に対する相談、指導または助言／構成割合(%)","85.5","14.5","85.5"
"居宅において日常生活を営むのに支障がありながら、必要な福祉サービス及び保健医療サービスを利用していない高齢者の権利利益の養護を図るための早期発見の取組や相談等／市町村数","52","10","50"
"居宅において日常生活を営むのに支障がありながら、必要な福祉サービス及び保健医療サービスを利用していない高齢者の権利利益の養護を図るための早期発見の取組や相談等／構成割合(%)","83.9","16.1","80.6"
