"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","610","2424","2182","2318","349","148","56","127","1.0"
"ＴＯＴＡＬ","100","7.4","29.5","26.6","28.2","4.2","1.8","0.7","1.5",""
"性別・年代／女性計","7526","549","2227","2016","2122","319","135","49","109","1.0"
"性別・年代／女性計","100","7.3","29.6","26.8","28.2","4.2","1.8","0.7","1.4",""
"性別・年代／女性２０代","3297","232","928","966","896","161","56","28","30","1.0"
"性別・年代／女性２０代","100","7.0","28.1","29.3","27.2","4.9","1.7","0.8","0.9",""
"性別・年代／女性３０代","1612","116","484","415","445","84","41","13","14","1.0"
"性別・年代／女性３０代","100","7.2","30.0","25.7","27.6","5.2","2.5","0.8","0.9",""
"性別・年代／女性４０代","1560","127","484","373","463","47","28","6","32","1.0"
"性別・年代／女性４０代","100","8.1","31.0","23.9","29.7","3.0","1.8","0.4","2.1",""
"性別・年代／女性５０代以上","1005","70","314","249","303","27","9","2","31","1.1"
"性別・年代／女性５０代以上","100","7.0","31.2","24.8","30.1","2.7","0.9","0.2","3.1",""
"性別・年代／男性計","380","35","113","93","101","17","7","4","10","1.0"
"性別・年代／男性計","100","9.2","29.7","24.5","26.6","4.5","1.8","1.1","2.6",""
"性別・年代／男性２０代","281","28","85","71","68","13","6","2","8","1.1"
"性別・年代／男性２０代","100","10.0","30.2","25.3","24.2","4.6","2.1","0.7","2.8",""
"性別・年代／男性３０代以上","99","7","28","22","33","4","1","2","2","0.9"
"性別・年代／男性３０代以上","100","7.1","28.3","22.2","33.3","4.0","1.0","2.0","2.0",""
"性別・年代／無回答","308","26","84","73","95","13","6","3","8","1.0"
"性別・年代／無回答","100","8.4","27.3","23.7","30.8","4.2","1.9","1.0","2.6",""
