"全国／年","全国／性別","全国／喫煙状況","全国／総数(%)","全国／20-29歳(%)","全国／30-39(%)","全国／40-49(%)","全国／50-59(%)","全国／60-69(%)","全国／70歳以上(%)"
"平成21年","男性","現在習慣的に喫煙している者","38.2","40.1","51.2","49.1","44","33.7","19.3"
"平成21年","男性","過去習慣的に喫煙している者","25.9","5.2","16.2","22.2","28.5","34.5","34"
"平成21年","男性","喫煙しない者","35.9","54.7","32.6","28.7","27.5","31.8","46.7"
"平成21年","女性","現在習慣的に喫煙している者","10.9","16.2","17.5","15.2","11.7","7.4","4.9"
"平成21年","女性","過去習慣的に喫煙していた者","6","5.4","11.4","7","7.4","5","2.5"
"平成21年","女性","喫煙しない者","83","78.4","71.1","77.9","80.9","87.7","92.6"
"平成20年","男性","現在習慣的に喫煙している者","36.8","41.2","48.6","51.9","41.2","32.6","19.1"
"平成20年","男性","過去習慣的に喫煙している者","28.8","6.6","16.9","18.4","34.1","36.9","40.2"
"平成20年","男性","喫煙しない者","34.4","52.2","34.5","29.7","24.7","30.5","40.7"
"平成20年","女性","現在習慣的に喫煙している者","9.1","14.3","18","13.4","9.5","4.9","3.2"
"平成20年","女性","過去習慣的に喫煙している者","5.3","4.8","11.5","5.9","4.3","4.2","3.4"
"平成20年","女性","喫煙しない者","85.6","80.9","70.5","80.7","86.1","90.9","93.3"
"平成19年","男性","現在習慣的に喫煙している者","39.4","47.5","55.6","49.1","42.3","32.8","18.6"
"平成19年","男性","過去習慣的に喫煙している者","22.7","4.6","11.2","21.8","26.1","29.9","30.6"
"平成19年","男性","喫煙しない者","37.9","47.8","33.2","29.1","31.6","37.3","50.7"
"平成19年","女性","現在習慣的に喫煙している者","11","16.7","17.2","17.9","9.3","7.3","3.7"
"平成19年","女性","過去習慣的に喫煙している者","5.1","5.6","11.4","6.1","3.9","2.4","2.8"
"平成19年","女性","喫煙しない者","83.9","77.8","71.4","76","86.8","90.3","93.5"
"平成18年","男性","現在習慣的に喫煙している者","39.9","45.1","53.3","46.5","46.2","34.8","19.9"
"平成18年","男性","過去習慣的に喫煙している者","21.4","4.7","14","21.6","24.9","26","28.4"
"平成18年","男性","喫煙しない者","38.7","50.3","32.7","31.9","28.9","39.2","51.7"
"平成18年","女性","現在習慣的に喫煙している者","10","17.9","16.4","13.8","9.2","6.4","2.8"
"平成18年","女性","過去習慣的に喫煙している者","4.5","4.4","9.9","4.8","4","2.6","2.4"
"平成18年","女性","喫煙しない者","85.5","77.6","73.8","81.4","86.8","91.1","94.8"
