"サービスの種類","事項","単位","H26年度／実績","H27年度／見込み","H27年度／実績","H28年度／見込み","H28年度／実績","H29年度／見込み"
"障害児通所支援／児童発達支援","サービス量","人日分","46719","61864","54146","68481","62835","75157"
"障害児通所支援／児童発達支援","利用者数","人","7906","8582","8745","9442","9703","10282"
"障害児通所支援／放課後等デイサービス","サービス量","人日分","79726","97429","115965","115065","149589","132845"
"障害児通所支援／放課後等デイサービス","利用者数","人","7879","9433","10551","10746","13046","12039"
"障害児通所支援／保育所等訪問支援","サービス量","人日分","106","305","121","525","224","623"
"障害児通所支援／保育所等訪問支援","利用者数","人","82","146","95","310","163","379"
"障害児通所支援／医療型児童発達支援","サービス量","人日分","1559","2139","1656","2355","1656","2502"
"障害児通所支援／医療型児童発達支援","利用者数","人","180","237","199","257","207","272"
"入所支援障害児／福祉型児童入所支援","利用者数","人","464","441","440","441","438","441"
"入所支援障害児／医療型児童入所支援","利用者数","人","190","174","189","174","197","174"
"障害児相談支援","利用者数","人","1397","2326","2330","2709","2820","3064"
