"","男子／7年","男子／8年","男子／9年","男子／10年","男子／11年","男子／有意確率","女子／7年","女子／8年","女子／9年","女子／10年","女子／11年","女子／有意確率"
"持続性せき／％0.75秒量","","-4.34","-1.99","-3.46","-4.63","0.000","","-5.77","-11.96","-4.70","-4.74","0.000"
"持続性せき／0.75秒率","","-4.32","-2.02","-3.77","-4.21","0.000","","-4.01","-5.12","-2.96","-3.86","0.000"
"持続性せき／％V25","-9.03","-15.85","-7.59","-12.42","-7.87","0.000","-19.45","-18.85","-22.33","-10.34","-12.54","0.000"
"持続性たん／％0.75秒量","","-7.10","-1.62","-1.93","-1.68","0.010","","-4.67","-9.03","-9.64","-1.54","0.000"
"持続性たん／0.75秒率","","-7.00","-2.16","-2.42","-3.34","0.000","","-5.03","-4.60","-4.71","-3.32","0.000"
"持続性たん／％V25","-14.19","-28.04","-7.21","-10.22","-5.72","0.000","-7.46","-17.13","-23.07","-18.31","-9.84","0.000"
"喘鳴／％0.75秒量","","-0.83","-2.10","-3.41","-3.48","0.000","","0.35","-3.21","-1.90","-4.92","0.004"
"喘鳴／0.75秒率","","-1.93","-1.76","-1.89","-2.27","0.000","","-1.03","-2.29","-1.78","-2.76","0.000"
"喘鳴／％V25","-19.63","-4.92","-7.96","-7.83","-10.18","0.000","-23.42","-3.19","-7.92","-8.47","-15.06","0.000"
"喘息様症状（現在）／％0.75秒量","","-8.68","-6.48","-5.14","-5.08","0.000","","-6.58","-9.30","-3.67","-5.12","0.000"
"喘息様症状（現在）／0.75秒率","","-5.91","-5.58","-4.48","-4.84","0.000","","-5.84","-5.79","-3.50","-3.84","0.000"
"喘息様症状（現在）／％V25","-8.32","-25.09","-24.27","-20.61","-18.55","0.000","-3.36","-22.41","-27.99","-15.87","-16.51","0.000"
"鼻炎様症状（一年中）／％0.75秒量","","-1.67","-1.75","-0.66","-1.95","0.006","","-3.41","-1.02","-0.08","0.17","0.141"
"鼻炎様症状（一年中）／0.75秒率","","-1.98","-1.46","-0.94","-1.31","0.000","","-1.73","-0.33","-0.75","-1.05","0.009"
"鼻炎様症状（一年中）／％V25","-4.22","-6.52","-4.57","-5.24","-5.38","0.000","2.88","-7.48","-4.58","-5.15","-4.31","0.148"
"鼻炎様症状（春）／％0.75秒量","","0.37","-0.55","0.41","-1.25","0.512","","0.43","0.44","0.09","-0.16","0.642"
"鼻炎様症状（春）／0.75秒率","","-0.12","-0.73","0.25","-0.65","0.133","","-0.22","-0.48","-0.14","-0.10","0.287"
"鼻炎様症状（春）／％V25","-9.70","-0.26","-2.56","2.70","-2.60","0.000","-6.76","-3.73","-2.05","-0.26","-0.96","0.001"
"転居歴／％0.75秒量","","-0.05","-0.31","-0.05","-0.21","0.586","","-1.33","-0.98","-0.03","-0.83","0.011"
"転居歴／0.75秒率","","-0.14","-0.19","-0.01","-0.71","0.106","","-0.21","0.05","0.52","-0.54","0.823"
"転居歴／％V25","0.36","-1.40","-1.96","-0.39","-1.73","0.110","0.88","-2.85","-1.41","0.61","-1.68","0.170"
"兄弟数3人以上／％0.75秒量","","0.13","0.41","1.06","0.03","0.169","","0.50","-0.35","0.11","0.57","0.534"
"兄弟数3人以上／0.75秒率","","0.06","0.18","0.44","0.11","0.226","","-0.18","-0.32","0.18","0.24","0.846"
"兄弟数3人以上／％V25","-2.41","0.71","1.21","1.56","-0.50","0.681","-2.23","0.43","-1.11","0.04","1.35","0.790"
