"","電気","都市ガス","LPガス"
"対象者数","1067","10662","1574"
"症状１","1012","10121","1513"
"%","94.85","94.93","96.12"
"症状２","1029","10256","1531"
"%","96.44","96.19","97.27"
"症状３","981","9786","1459"
"%","91.94","91.78","92.69"
"症状４","969","9635","1465"
"%","90.82","90.37","93.07"
"症状５","1043","10402","1532"
"%","97.75","97.56","97.33"
"（軽症）間欠型","269","2550","397"
"%","25.21","23.92","25.22"
"軽症持続型","385","3963","639"
"%","36.08","37.17","40.60"
"中等症持続型","325","3297","425"
"%","30.46","30.92","27.00"
"重症持続型","86","826","108"
"%","8.06","7.75","6.86"
"アレ・ダニ・陽性","716","7294","1074"
"%","67.10","68.41","68.23"
"アレ・ダニ・擬陽性","26","208","28"
"%","2.44","1.95","1.78"
"アレ・ダニ・陰性","277","2697","399"
"%","25.96","25.30","25.35"
"アレ・ハウスダスト・陽性","674","6873","994"
"%","63.17","64.46","63.15"
"アレ・ハウスダスト・擬陽性","20","211","32"
"%","1.87","1.98","2.03"
"アレ・ハウスダスト・陰性","275","2642","354"
"%","25.77","24.78","22.49"
