"","あり","なし"
"対象者数","1643","3198"
"持続性せき","67","125"
"%","4.08","3.91"
"持続性たん","107","173"
"%","6.51","5.41"
"持続性せきたん","28","46"
"%","1.7","1.44"
"ぜんそく様症状現在","44","87"
"%","2.68","2.72"
"ぜんそく様症状寛解","28","65"
"%","1.7","2.03"
"ぜん鳴症状","62","84"
"%","3.77","2.63"
"慢性気管支炎","67","113"
"%","4.08","3.53"
"肺気腫","17","13"
"%","1.03","0.41"
"じんましん","280","550"
"%","17.04","17.2"
"アトピー性皮膚炎","92","212"
"%","5.6","6.63"
"アレルギー性鼻炎","396","775"
"%","24.1","24.23"
"アレルギー性結膜炎","181","386"
"%","11.02","12.07"
"花粉症","574","1140"
"%","34.94","35.65"
"食物アレルギー","53","145"
"%","3.23","4.53"
