"区部／全23区","区部／子供家庭支援センター","区部／子育てひろば（地域子育て支援拠点）","区部／ショートステイ","区部／トワイライトステイ","区部／一時預かり事業","区部／病児・病後児保育","区部／ファミリー・サポート・センター"
"実施区数","23","23","23","15","23","23","23"
"千代田区","○","○","○","","○","○","○"
"中央区","○","○","○","○","○","○","○"
"港区","○","○","○","○","○","○","○"
"新宿区","○","○","○","○","○","○","○"
"文京区","○","○","○","○","○","○","○"
"台東区","○","○","○","○","○","○","○"
"墨田区","○","○","○","","○","○","○"
"江東区","○","○","○","","○","○","○"
"品川区","○","○","○","○","○","○","○"
"目黒区","○","○","○","","○","○","○"
"大田区","○","○","○","○","○","○","○"
"世田谷区","○","○","○","○","○","○","○"
"渋谷区","○","○","○","","○","○","○"
"中野区","○","○","○","○","○","○","○"
"杉並区","○","○","○","","○","○","○"
"豊島区","○","○","○","○","○","○","○"
"北区","○","○","○","○","○","○","○"
"荒川区","○","○","○","","○","○","○"
"板橋区","○","○","○","○","○","○","○"
"練馬区","○","○","○","○","○","○","○"
"足立区","○","○","○","○","○","○","○"
"葛飾区","○","○","○","○","○","○","○"
"江戸川区","○","○","○","","○","○","○"
