"","24年度(7827人)","19年度(7988人)"
"子育てに理解のある職場環境の整備(%)","44.9","44.1"
"児童手当など経済的な手当の充実※(%)","42.8","50.6"
"仕事の時間を短縮したり、ずらしたりする制度(%)","30.9","28.4"
"子供が病気やけがをしたときに休暇を取れる制度の充実(%)","29.2","31.3"
"夜間･休日を問わず､子供を預けられる保育サービスの整備(%)","18.5","14.3"
"出産･育児のために退職した人が復帰できる制度の充実(%)","15.1","13.5"
"育児休業制度の普及(%)","15.1","17.5"
"職場内保育施設の整備(%)","14.1","12.0"
"小学生の子供を預けられるサービスの整備(%)","12.7","10.5"
"子供の遊び場環境の整備(%)","12.0","16.1"
"男女が共に子育てに携わる意識啓発(%)","11.9","13.9"
"子育て家庭の住宅環境の整備(%)","7.8","11.1"
"求職中に子供を預けられるサービスの整備(%)","5.7","3.7"
"出産や子育てに関する情報提供や相談の場の整備(%)","2.7","3.7"
"特にない(%)","2.0","1.7"
"その他(%)","5.6","4.5"
"無回答(%)","1.3","0.9"
