"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢","1.038","1.025","1.052","1.021","1.056","0"
"2)居住年数","0.994","0.987","1.001","0.984","1.003","0.07033"
"3)性別","","","","","","0.00251"
"3)性別／男","1","","","","",""
"3)性別／女","0.658","0.501","0.863","0.46","0.94",""
"4)都市区分","","","","","","0.70571"
"4)都市区分／多摩市","1","","","","",""
"4)都市区分／その他","1.077","0.732","1.585","0.648","1.79",""
"5)本人アレルギー","","","","","","0.00001"
"5)本人アレルギー／なし","1","","","","",""
"5)本人アレルギー／あり","1.704","1.345","2.159","1.249","2.326",""
"6)家族アレルギー","","","","","","0.09308"
"6)家族アレルギー／なし","1","","","","",""
"6)家族アレルギー／あり","1.22","0.967","1.539","0.899","1.655",""
"7)住宅構造","","","","","","0.77979"
"7)住宅構造／木造","1","","","","",""
"7)住宅構造／鉄筋・鉄骨","0.967","0.766","1.221","0.712","1.314",""
"8)じゅうたん・カ－ペットの使用","","","","","","0.267"
"8)じゅうたん・カ－ペットの使用／なし","1","","","","",""
"8)じゅうたん・カ－ペットの使用／あり","0.881","0.705","1.101","0.658","1.181",""
"9)居間・寝室のカビ","","","","","","0.09466"
"9)居間・寝室のカビ／なし","1","","","","",""
"9)居間・寝室のカビ／あり","1.282","0.958","1.716","0.874","1.88",""
"10)部屋の窓（換気）","","","","","","0.58097"
"10)部屋の窓（換気）／よく開ける","1","","","","",""
"10)部屋の窓（換気）／開けない","1.089","0.804","1.476","0.731","1.624",""
"11)暖房形態","","","","","","0.95877"
"11)暖房形態／クリーン型","1","","","","",""
"11)暖房形態／ダーティ型","1.006","0.791","1.28","0.734","1.38",""
"12)暖房中の換気","","","","","","0.66266"
"12)暖房中の換気／あり","1","","","","",""
"12)暖房中の換気／なし","0.935","0.69","1.266","0.628","1.392",""
"13)暖房器具の熱源","","","","","","0.10977"
"13)暖房器具の熱源／電気","1","","","","",""
"13)暖房器具の熱源／ガス","0.682","0.426","1.09","0.367","1.264",""
"14)ペットの室内飼育","","","","","","0.93015"
"14)ペットの室内飼育／なし","1","","","","",""
"14)ペットの室内飼育／あり","1.012","0.78","1.311","0.719","1.423",""
"15)粉塵職場の経験","","","","","","0.06452"
"15)粉塵職場の経験／なし","1","","","","",""
"15)粉塵職場の経験／あり","1.514","0.975","2.35","0.849","2.699",""
"16)自動車排ガス関連の職業経験","","","","","","0.34965"
"16)自動車排ガス関連の職業経験／なし","1","","","","",""
"16)自動車排ガス関連の職業経験／あり","1.185","0.83","1.692","0.742","1.892",""
"17)喫煙習慣","","","","","","0"
"17)喫煙習慣／非喫煙","1","","","","",""
"17)喫煙習慣／以前喫煙","3.034","2.241","4.108","2.037","4.518",""
"17)喫煙習慣／現喫煙","1.35","0.996","1.828","0.906","2.011",""
"18)家庭内受動喫煙","","","","","","0.59377"
"18)家庭内受動喫煙／なし","1","","","","",""
"18)家庭内受動喫煙／あり","1.07","0.834","1.372","0.772","1.484",""
"19)職場の受動喫煙","","","","","","0.92627"
"19)職場の受動喫煙／なし","1","","","","",""
"19)職場の受動喫煙／あり","1.012","0.783","1.308","0.722","1.418",""
"20)距離区分","","","","","","0.03959"
"20)距離区分／201m以上","1","","","","",""
"20)距離区分／0～50m","1.327","0.965","1.823","0.874","2.015",""
"20)距離区分／51～100m","0.784","0.527","1.166","0.465","1.321",""
"20)距離区分／101～150m","1.389","1.005","1.922","0.907","2.128",""
"20)距離区分／151～200m","1.287","0.903","1.835","0.807","2.051",""
