"","はい","いいえ"
"対象者数","5063","8613"
"症状１","4805","8197"
"%","94.90","95.17"
"症状２","4881","8285"
"%","96.41","96.19"
"症状３","4657","7906"
"%","91.98","91.79"
"症状４","4585","7820"
"%","90.56","90.79"
"症状５","4930","8411"
"%","97.37","97.65"
"（軽症）間欠型","1196","2101"
"%","23.62","24.39"
"軽症持続型","1877","3235"
"%","37.07","37.56"
"中等症持続型","1587","2577"
"%","31.35","29.92"
"重症持続型","393","676"
"%","7.76","7.85"
"アレ・ダニ・陽性","3290","6030"
"%","64.98","70.01"
"アレ・ダニ・擬陽性","104","167"
"%","2.05","1.94"
"アレ・ダニ・陰性","1428","2057"
"%","28.20","23.88"
"アレ・ハウスダスト・陽性","3121","5640"
"%","61.64","65.48"
"アレ・ハウスダスト・擬陽性","106","166"
"%","2.09","1.93"
"アレ・ハウスダスト・陰性","1388","1993"
"%","27.41","23.14"
