"基金名称","介護職員処遇改善等臨時特例基金＜(5)定期借地権利用による整備促進特別対策事業（基本事業）＞"
"基金設置法人名","東京都"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）(百万円)","957"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（国からの交付決定額）(百万円)","957"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（運用収入額）(百万円)","0"
"B／平成23年度下半期終了時におけるAの金額の残高（A-C）(百万円)","-626"
"C／執行（支出）済み額(百万円)","1584"
"E／翌半期以降の執行見込みについて","平成24年度については、下半期に執行予定（金額未定）"
"E／（執行見込額）(百万円)",""
"執行済み額（C)の平成21年度通年合計(百万円)","36"
"執行済み額（C)の平成22年度通年合計(百万円)","137"
"執行済み額（C)の平成23年度上半期合計(百万円)","0"
"執行済み額（C)の平成23年度下半期合計(百万円)","1410"
