"","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／合計","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／いつもしている","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／時々している","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／あまりしない","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／いつもしない","問1 あなたはふだん食品を購入する時に､栄養成分の表示を参考にしていますか｡あてはまる番号を1つ選んで○印をつけて下さい。／無回答","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／合計","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／エネルギー(熱量)","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／たんぱく質","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／脂質","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／炭水化物","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／ナトリウム(食塩相当量)","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／飽和脂肪酸","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／コレステロール","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／糖類","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／食物繊維","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／ビタミン･ミネラル類","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／その他","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／特にない","問２ あなたが､食品を購入する際の参考として､必要だと思う栄養成分表示はどれですか｡あてはまる番号をすべてに○をつけて下さい。／無回答","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／合計","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／ほとんど毎日","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／週に4～5日","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／週に2～3日","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／ほとんどない","問3 あなたは､主食(ごはん､パン､麺類などの料理)、主菜(魚介類､肉類､卵類､大豆・大豆製品を主材料にした料理)、副菜(野菜類､海藻類､きのこ類を主材料とした料理)の3つを組み合わせて食べることが1日に2回以上あるのは週に何日ありますか｡あてはまる番号に○印をつけて下さい。／無回答"
"全体総数(人)","411","33","141","146","90","1","411","193","115","122","67","104","26","94","95","126","121","17","106","2","411","202","85","84","40","0"
"全体総数(%)","100","8","34.3","35.5","21.9","0.2","100","47","28","29.7","16.3","25.3","6.3","22.9","23.1","30.7","29.4","4.1","25.8","0.5","100","49.1","20.7","20.4","9.7","0"
"20～29歳(人)","38","4","14","9","11","0","38","24","18","14","10","7","1","6","10","11","16","1","4","1","38","13","14","5","6","0"
"20～29歳(%)","100","10.5","36.8","23.7","28.9","0","100","63.2","47.4","36.8","26.3","18.4","2.6","15.8","26.3","28.9","42.1","2.6","10.5","2.6","100","34.2","36.8","13.2","15.8","0"
"30～39歳(人)","39","2","11","16","10","0","39","26","11","12","12","13","2","8","14","11","12","3","5","0","39","13","9","8","9","0"
"30～39歳(%)","100","5.1","28.2","41","25.6","0","100","66.7","28.2","30.8","30.8","33.3","5.1","20.5","35.9","28.2","30.8","7.7","12.8","0","100","33.3","23.1","20.5","23.1","0"
"40～49歳(人)","77","8","36","22","11","0","77","47","25","23","16","22","10","16","20","23","24","4","11","0","77","29","20","20","8","0"
"40～49歳(%)","100","10.4","46.8","28.6","14.3","0","100","61","32.5","29.9","20.8","28.6","13","20.8","26","29.9","31.2","5.2","14.3","0","100","37.7","26","26","10.4","0"
"50～59歳(人)","67","5","21","29","11","1","67","35","15","20","7","18","3","18","14","22","20","3","18","0","67","30","18","15","4","0"
"50～59歳(%)","100","7.5","31.3","43.3","16.4","1.5","100","52.2","22.4","29.9","10.4","26.9","4.5","26.9","20.9","32.8","29.9","4.5","26.9","0","100","44.8","26.9","22.4","6","0"
"60～69歳(人)","85","7","32","34","12","0","85","34","22","33","11","20","5","28","24","29","24","1","24","0","85","44","15","18","8","0"
"60～69歳(%)","100","8.2","37.6","40","14.1","0","100","40","25.9","38.8","12.9","23.5","5.9","32.9","28.2","34.1","28.2","1.2","28.2","0","100","51.8","17.6","21.2","9.4","0"
"70歳～(人)","105","7","27","36","35","0","105","27","24","20","11","24","5","18","13","30","25","5","44","1","105","73","9","18","5","0"
"70歳～(%)","100","6.7","25.7","34.3","33.3","0","100","25.7","22.9","19","10.5","22.9","4.8","17.1","12.4","28.6","23.8","4.8","41.9","1","100","69.5","8.6","17.1","4.8","0"
"男性総数(人)","193","9","41","82","60","1","193","81","51","42","31","37","8","29","35","47","46","7","61","2","193","82","43","42","26","0"
"男性総数(%)","100","4.7","21.2","42.5","31.1","0.5","100","42","26.4","21.8","16.1","19.2","4.1","15","18.1","24.4","23.8","3.6","31.6","1","100","42.5","22.3","21.8","13.5","0"
"20～29歳(人)","19","0","5","7","7","0","19","10","9","5","5","2","1","1","4","4","7","0","3","1","19","5","8","2","4","0"
"20～29歳(%)","100","0","26.3","36.8","36.8","0","100","52.6","47.4","26.3","26.3","10.5","5.3","5.3","21.1","21.1","36.8","0","15.8","5.3","100","26.3","42.1","10.5","21.1","0"
"30～39歳(人)","25","1","4","11","9","0","25","14","8","6","6","7","2","3","7","5","6","2","5","0","25","7","7","6","5","0"
"30～39歳(%)","100","4","16","44","36","0","100","56","32","24","24","28","8","12","28","20","24","8","20","0","100","28","28","24","20","0"
"40～49歳(人)","29","2","8","12","7","0","29","16","9","8","5","6","2","4","8","6","7","1","6","0","29","7","7","11","4","0"
"40～49歳(%)","100","6.9","27.6","41.4","24.1","0","100","55.2","31","27.6","17.2","20.7","6.9","13.8","27.6","20.7","24.1","3.4","20.7","0","100","24.1","24.1","37.9","13.8","0"
"50～59歳(人)","34","1","7","18","7","1","34","14","4","8","5","7","0","7","5","7","6","1","13","0","34","12","12","7","3","0"
"50～59歳(%)","100","2.9","20.6","52.9","20.6","2.9","100","41.2","11.8","23.5","14.7","20.6","0","20.6","14.7","20.6","17.6","2.9","38.2","0","100","35.3","35.3","20.6","8.8","0"
"60～69歳(人)","36","2","9","15","10","0","36","14","10","10","5","6","1","7","8","13","10","0","11","0","36","17","4","9","6","0"
"60～69歳(%)","100","5.6","25","41.7","27.8","0","100","38.9","27.8","27.8","13.9","16.7","2.8","19.4","22.2","36.1","27.8","0","30.6","0","100","47.2","11.1","25","16.7","0"
"70歳～(人)","50","3","8","19","20","0","50","13","11","5","5","9","2","7","3","12","10","3","23","1","50","34","5","7","4","0"
"70歳～(%)","100","6","16","38","40","0","100","26","22","10","10","18","4","14","6","24","20","6","46","2","100","68","10","14","8","0"
"女性総数(人)","218","24","100","64","30","0","218","112","64","80","36","67","18","65","60","79","75","10","45","0","218","120","42","42","14","0"
