"収入／科目","収入／収入額(円)","収入／(再掲)介護分(円)","収入／(再掲)後期高齢者支援金等分(円)",""
"保険料・税／一般分／医療給付費分","406682311763","","",""
"保険料・税／一般分／後期高齢者支援金等分","120763421044","","120763421044",""
"保険料・税／一般分／介護納付金分","51621882659","51621882659","",""
"保険料・税／一般分／一般被保険者分計","579067615466","51621882659","120763421044",""
"保険料・税／退職分／医療給付費分","6475203682","","",""
"保険料・税／退職分／後期高齢者支援金等分","2081330224","","2081330224",""
"保険料・税／退職分／介護納付金分","1943618924","1943618924","",""
"保険料・税／退職分／退職被保険者等分計","10500152830","1943618924","2081330224",""
"保険料・税／計","589567768296","53565501583","122844751268",""
"国庫支出金／事務費負担金","906178580","29494415","0",""
"国庫支出金／療給費等負担金","386342106583","36265265978","84885535946",""
"国庫支出金／高額医療費共同事業負担金","9798820746","","",""
"国庫支出金／特定健康診査等負担金","2479057000","","",""
"国庫支出金／普通調整交付金","21007903000","1994563000","7401910000",""
"国庫支出金／特別調整交付金","4606999000","","0",""
"国庫支出金／出産育児一時金","1489713120","","",""
"国庫支出金／特別対策補助金","0","0","0",""
"国庫支出金／計","426630778029","38289323393","92287445946",""
"療養給付費等交付金","29934772443","","3728303827",""
"前期高齢者交付金","273632559560","","",""
"都道府県支出金／高額医療費共同事業負担金","8865665746","","",""
"都道府県支出金／特定健康診査等負担金","2384584000","","",""
"都道府県支出金／第一号都道府県調整交付金","65304222000","6085658000","",""
"都道府県支出金／第二号都道府県調整交付金","7503149000","","",""
"都道府県支出金／広域化等支援支援基金支出金","0","","",""
"都道府県支出金／その他","11529405000","0","0",""
"連合会支出金","0","","",""
"共同事業交付金／高額医療費共同事業交付金","40261536517","","",""
"共同事業交付金／保険財政共同安定化事業交付金","341070362217","","",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険税軽減分)","34145991086","3188030040","",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険者支援分)","21644748547","1737779901","",""
"繰入金／一般会計[市町村補助]／基準超過費用","0","","",""
"繰入金／一般会計[市町村補助]／職員給与費等","19763651371","","",""
"繰入金／一般会計[市町村補助]／出産育児一時金","5303447217","","",""
"繰入金／一般会計[市町村補助]／財政安定化支援事業","134897992","","",""
"繰入金／一般会計[市町村補助]／その他","116908581331","","",""
"繰入金／直診勘定","0","","",""
"その他の収入","4721024548","","",""
"小計（単年度収入）","1999307144900","102866292917","218860501041",""
"基金等繰入金","5926702692","","",""
"繰越金","61880339345","","",""
"市町村債(組合債)","0","","",""
"収入合計","2067114186937","","",""
