"","あり","なし"
"対象者数","1283","2994"
"持続性せき","109","167"
"%","8.5","5.58"
"持続性たん","175","323"
"%","13.64","10.79"
"持続性せきたん","67","90"
"%","5.22","3.01"
"ぜんそく様症状現在","48","47"
"%","3.74","1.57"
"ぜんそく様症状寛解","49","44"
"%","3.82","1.47"
"ぜん鳴症状","61","78"
"%","4.75","2.61"
"慢性気管支炎","65","84"
"%","5.07","2.81"
"肺気腫","28","59"
"%","2.18","1.97"
"じんましん","173","238"
"%","13.48","7.95"
"アトピー性皮膚炎","83","72"
"%","6.47","2.4"
"アレルギー性鼻炎","371","388"
"%","28.92","12.96"
"アレルギー性結膜炎","58","60"
"%","4.52","2"
"花粉症","569","677"
"%","44.35","22.61"
"食物アレルギー","59","48"
"%","4.6","1.6"
