"","問4-1で「１．はい」と回答した施設を対象として（施設数）","１小発作／施設数","１小発作／割合","２中発作／施設数","２中発作／割合","３大発作／施設数","３大発作／割合","無回答／施設数","無回答／割合"
"全施設数","486","301","61.9","157","32.3","23","4.7","5","1"
"認可保育所＊","294","165","56.1","108","36.7","16","5.4","5","1.7"
"認証保育所＊","20","17","85","2","10","1","5","",""
"認定こども園＊","8","6","75","1","12.5","1","12.5","",""
"幼稚園＊","34","28","82.4","6","17.6","","","",""
"ベビーホテル","10","7","70","3","30","","","",""
"家庭的保育","12","8","66.7","4","33.3","","","",""
"学童保育","79","56","70.9","21","26.6","2","2.5","",""
"上記以外の施設","29","14","48.3","12","41.4","3","10.3","",""
"＊前回調査施設 (再掲）","356","216","60.7","117","32.9","18","5.1","5","1.4"
