"支出月","科目","支出目的","支出額(円)","支出相手先"
"10","負担金補助及交付金","補助金交付（地域支え合い体制づくり事業）","58688000","文京区外"
"10","雑入","返還金","-208089","品川区"
"11","雑入","返還金","-301142","稲城市"
"11","雑入","返還金","-999000","豊島区外"
"12","負担金補助及交付金","補助金交付（地域支え合い体制づくり事業）","3163000","（公財）さわやか福祉財団"
"1","負担金補助及交付金","補助金交付（地域支え合い体制づくり事業）","2018000","コーシャハイム清新自治会"
"1","雑入","返還金","-278000","（公財）さわやか福祉財団"
"2","雑入","返還金","-902000","世田谷区"
"3","雑入","返還金","-570000","江東区外"
"4","雑入","返還金","-3509000","台東区外"
"5","負担金補助及交付金","補助金交付（介護基盤緊急整備特別対策事業）","802762000","台東区外"
"5","負担金補助及交付金","補助金交付（認知症高齢者グループホーム等防災改修等支援事業）","8465000","江東区外"
"5","負担金補助及交付金","補助金交付（防火対策緊急整備支援事業）","6505000","江東区外"
"","","","874833769",""
