"","全体児童数（問１－Cの児童数）","Aぜん息（n=4319）／人数","Aぜん息（n=4319）／割合","B食物アレルギー（n=4975）／人数","B食物アレルギー（n=4975）／割合","Cアナフィラキシー（n=4015）／人数","Cアナフィラキシー（n=4015）／割合","Dアトピー性皮膚炎（n=4140）／人数","Dアトピー性皮膚炎（n=4140）／割合","Eアレルギー性鼻炎（n=3422）／人数","Eアレルギー性鼻炎（n=3422）／割合","Fアレルギー性結膜炎（n=3167）／人数","Fアレルギー性結膜炎（n=3167）／割合"
"0歳児","20083","327","1.6","1832","9.1","140","0.7","510","2.5","79","0.4","58","0.3"
"1歳児","36445","817","2.2","3799","10.4","302","0.8","1054","2.9","187","0.5","103","0.3"
"2歳児","40939","1098","2.7","3077","7.5","332","0.8","1208","3.0","303","0.7","177","0.4"
"3歳児","74060","2301","3.1","4595","6.2","442","0.6","2014","2.7","1015","1.4","395","0.5"
"4歳児","77633","2679","3.5","4158","5.4","443","0.6","2261","2.9","1448","1.9","645","0.8"
"5歳児","76706","3158","4.1","3541","4.6","367","0.5","2224","2.9","2011","2.6","970","1.3"
"小学一年生","27222","1327","4.9","1634","6.0","240","0.9","880","3.2","1436","5.3","390","1.4"
"小学二年生","23196","1084","4.7","1281","5.5","165","0.7","737","3.2","1284","5.5","337","1.5"
"小学三年生","17222","820","4.8","959","5.6","126","0.7","552","3.2","1026","6.0","286","1.7"
"その他","8826","214","2.4","325","3.7","38","0.4","112","1.3","317","3.6","98","1.1"
"無回答＊","1282","765","59.7","60","4.7","5","0.4","50","3.9","67","5.2","64","5.0"
"児童数計","403614","14590","3.6","25261","6.3","2600","0.6","11602","2.9","9173","2.3","3523","0.9" 
