"","はい","いいえ"
"対象者数","3252","10312"
"症状１","3084","9809"
"%","94.83","95.12"
"症状２","3149","9911"
"%","96.83","96.11"
"症状３","3009","9456"
"%","92.53","91.70"
"症状４","2976","9325"
"%","91.51","90.43"
"症状５","3168","10065"
"%","97.42","97.60"
"（軽症）間欠型","794","2479"
"%","24.42","24.04"
"軽症持続型","1253","3825"
"%","38.53","37.09"
"中等症持続型","980","3144"
"%","30.14","30.49"
"重症持続型","217","838"
"%","6.67","8.13"
"アレ・ダニ・陽性","2344","6923"
"%","72.08","67.14"
"アレ・ダニ・擬陽性","64","204"
"%","1.97","1.98"
"アレ・ダニ・陰性","681","2754"
"%","20.94","26.71"
"アレ・ハウスダスト・陽性","2227","6478"
"%","68.48","62.82"
"アレ・ハウスダスト・擬陽性","65","206"
"%","2.00","2.00"
"アレ・ハウスダスト・陰性","657","2678"
"%","20.20","25.97"
