"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","本町1丁目13番8～18号、14番、15番11～22号、31～32番、本町2丁目46～51番、54番、本町3丁目27～33番、本町4丁目5番、中央1～2丁目全域、中央3丁目1～29番、37～51番、中央4丁目6番14～15号、11～61番、中央5丁目20番7～11号、21番1～5号、22～26番、27番14～23号、28～49番、東中野全域、中野1～3丁目、中野4丁目1～2番、8～10番、13～21番、22番1,2号、中野5丁目1～67番、中野6丁目全域、上高田全域、新井1丁目1番、2番1～17,25～28号、3番1～3,11～15号","中部すこやか福祉センター","ﾁｭｳﾌﾞｽｺﾔｶﾌｸｼｾﾝﾀｰ","03-3367-7792","03-3367-7789","164-0011","中野区中央3-19-1","35.700085","139.674225","JGD2011","月曜日～金曜日8時30分～17時／土曜日８時30分～17時／休業日（日曜日、祝祭日、年末年始）","子育て、保健・福祉、支えあいの地域拠点(相談・支援のほか各種事業やサービスの提供を行う。)","","","","〇","〇",""
"2","中野4丁目3～7番、11～12番、22番3号、23番、中野5丁目68番、新井1丁目2番18～25号、3番4～8号、4～43番、新井2～5丁目、沼袋全域、松が丘全域、江原町全域、江古田全域、丸山全域、野方1丁目1～35番、43～49番、54～58番、野方2～4丁目、野方5丁目1～6番、7番（1～4号除く）、10～34番、35番1,2号、野方6丁目1～35番、36番13～15号、40番1～3,15～22号、41～44番、45番11～17号、47番1号、48～51番、大和町1丁目12～15番、大和町2丁目1～2番、若宮1丁目7番10～14号、8番8～13号、10番、11番5～15号、12～16番、24～27番","北部すこやか福祉センター","ﾎｸﾌﾞｽｺﾔｶﾌｸｼｾﾝﾀｰ","03-3389-4324","03-3389-4339","165-0022","中野区江古田4-31-10","35.724762","139.661530","JGD2011","月曜日～金曜日8時30分～17時／土曜日８時30分～17時／休業日（日曜日、祝祭日、年末年始）","子育て、保健・福祉、支えあいの地域拠点(相談・支援のほか各種事業やサービスの提供を行う。)","","","","〇","〇",""
"3","南台全域、弥生町全域、本町1丁目1～12番、13番1~8号、15番1~6,25号、16～30番本町2丁目1～45番、52～53番、本町3丁目1～26番、本町4丁目1～4番、6～48番、本町5～6丁目中央3丁目30～36番、中央4丁目1～5番、6番1~12,17~29号、7～10番、中央5丁目1～19番、20番1~7,13~15号、21番6~15号、27番1~13,25~34号","南部すこやか福祉センター","ﾅﾝﾌﾞｽｺﾔｶﾌｸｼｾﾝﾀｰ","03-3382-1660","03-3382-1766","164-0013","中野区弥生町5-11-26","35.688080","139.668823","JGD2011","月曜日～金曜日8時30分～17時／土曜日８時30分～17時／休業日（日曜日、祝祭日、年末年始）","子育て、保健・福祉、支えあいの地域拠点(相談・支援のほか各種事業やサービスの提供を行う。)","","","","〇","〇",""
"4","野方1丁目36～42番、50～53番、野方5丁目7番1~4号、8～9番、35番4~10号、野方6丁目36番1~12号、37～39番、40番5~14号、45番1~10号、46番、47番2~16号、52～53番、大和町1丁目1～11番、16～68番、大和町2丁目3～49番、大和町3～4丁目、若宮1丁目1～6番、7番1~9,15,16号、8番1~8,14~19号、9番、11番1,2号、17～23番、28～59番、若宮2～3丁目、白鷺全域、鷺宮全域、上鷺宮全域","鷺宮すこやか福祉センター","ｻｷﾞﾉﾐﾔｽｺﾔｶﾌｸｼｾﾝﾀｰ","03-3337-8450","03-3330-1340","165-0033","中野区若宮3-58-10","35.721760","139.640579","JGD2011","月曜日～金曜日8時30分～17時／土曜日８時30分～17時／休業日（日曜日、祝祭日、年末年始）","子育て、保健・福祉、支えあいの地域拠点(相談・支援のほか各種事業やサービスの提供を行う。)","","","","〇","〇",""
"5","南台全域、弥生町1丁目38番1~10,24,25号、39番、弥生町2丁目36番7~9号、37番5（一部）,9（一部）号、40番8号、41番8号、43~53番、弥生町3～6丁目","中野区南中野地域包括支援センター","ﾅｶﾉｸﾐﾅﾐﾅｶﾉﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5340-7885","03-5340-7886","164-0013","中野区弥生町５-11-26","35.688080","139.668823","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"6","弥生町1丁目1~37番、38番11~23号、40~60番、弥生町2丁目1~35番、36番1~6,10~15号、37番1~4,5（一部）,6~8,9（一部）,10~15号、38,39番、40番1~3,9~13号、41番1~6,10~21号、42番、本町1丁目1~12番、13番1~7,8（一部）号、15番1~6,25号、16~30番、本町2丁目1~45,52,53番、本町3丁目1~26番、本町4丁目1~4,6~48番、本町5・6丁目、中央3丁目30~36番、中央4丁目1~5番、6番1~12,17~29号、7~10番、中央5丁目1~19番、20番1~6,7（一部）,13~15号、21番6~15号、27番1~13,25~34号","中野区本町地域包括支援センター","ﾅｶﾉｸﾎﾝﾁｮｳﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5385-3733","03-5385-3776","164-0012","中野区本町5-10-4","35.692680","139.673141","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"7","本町1丁目13番8（一部）,9~18号、14番、15番11~22号、31,32番、本町2丁目46~51,54番、本町3丁目27~33番、本町4丁目5番、中央1・2丁目中央3丁目1,2,22~26番、東中野1・2丁目東中野4・5丁目、中野1丁目1~31,33~49,51~53番、54番1~5号、56番10（一部）,11（一部）,13（一部）号、57~63番","中野区東中野地域包括支援センター","ﾅｶﾉｸﾋｶﾞｼﾅｶﾉﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3366-3318","03-3366-3398","164-0003","中野区東中野1-5-1","35.701530","139.685211","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"8","中央3丁目3~21,27~29,37~51番、中央4丁目6番14,15号、11~61番中央5丁目20番7（一部）,8~11号、21番1~5号、22~26番、27番14~23号、28~49番、東中野3丁目、中野1丁目32,50,54番、9~13号、55番、56番1~9,10（一部）,11（一部）,12,13（一部）号、中野2・3丁目、中野4丁目1,2,8~10,13~21番、22番1,2号、中野5丁目1~67番、中野6丁目上高田全域、新井1丁目1番、2番1~17,25（一部）,26~28号、3番1~3,11~15号","中野区中野地域包括支援センター","ﾅｶﾉｸﾅｶﾉﾁｲｷﾎｳｶﾂｾｲﾝｾﾝﾀｰ","03-3367-7802","03-3367-7800","164-0011","中野区中央3-19-1","35.700085","139.674225","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"9","中野4丁目3~7,11,12番、22番3号、23番中野5丁目68番、新井1丁目2番18~24,25（一部）号、3番4~8号、4~43番新井2～5丁目（3丁目38番除く、）松が丘全域、江原町全域、江古田1丁目1~39番、野方1丁目1~35,43~49,54~58番、野方2丁目大和町1丁目12~15番、大和町2丁目1,2番","中野区中野北地域包括支援センター","ﾅｶﾉｸﾅｶﾉｷﾀﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5380-6005","03-5380-5762","165-0024","中野区松が丘1-32-10","35.721256","139.671844","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"10","新井3丁目38番、沼袋全域、江古田1丁目40~43番、江古田2～4丁目丸山全域、野方3～4丁目、野方5丁目1~6番、7番（1~4号を除く）、10~34番、35番1,2号、野方6丁目1~35番、36番13~15号、40番1~3,15~22号、41~44番、45番11~17号、47番1号、48~51番、若宮1丁目7番10~14号、8番8（一部）,9~13号、10番、11番5~15号、12~16,24~27番","中野区江古田地域包括支援センター","ﾅｶﾉｸｴｺﾞﾀﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3387-5550","03-3387-5955","165-0022","中野区江古田4-31-10","35.724762","139.661530","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"11","野方1丁目36~42,50~53番、野方5丁目7番1~4号、8,9番、35番4~10号、大和町1丁目1~11,16~68番、大和町2丁目3~49番、大和町3・4丁目、若宮1丁目1~6番、7番1~9,15,16号、8番1~7,8（一部）,14~19号、9番、11番1,2号、17~23,28~59番、若宮2・3丁目、白鷺1丁目","中野区鷺宮地域包括支援センター","ﾅｶﾉｸｻｷﾞﾉﾐﾔﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3310-2553","03-3310-1172","165-0033","中野区若宮3-58-10","35.721760","139.640579","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"12","野方6丁目36番1~12号、37~39番、40番5~14号、45番1~10号、46番、47番2~16号、52,53番、白鷺2・3丁目鷺宮全域、上鷺宮全域","中野区上鷺宮地域包括支援センター","ﾅｶﾉｸｶﾐｻｷﾞﾉﾐﾔﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3577-8123","03-3577-8124","165-0031","中野区上鷺宮3-17-4","35.734886","139.631210","JGD2011","〔月～金曜日〕8時30分～17時／〔土曜日〕8時30分～17時／休業日（日曜日、祝日、年末年始）※","","〇","","","","〇","〇"
"13","区内全域","中野区消費生活センター","ﾅｶﾉｸｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","03-3389-1196","03-3389-1199","164-8501","中野区中野4-8-1 中野区役所1階24番","35.709267","139.664688","JGD2011","平日9時30分～16時","","","","","〇","","〇"
