"","持続性せき／OR","持続性せき／p値","持続性たん／OR","持続性たん／p値","ぜい鳴／OR","ぜい鳴／p値","ぜん息様症状／OR","ぜん息様症状／p値","鼻炎様症状一年中／OR","鼻炎様症状一年中／p値","鼻炎様症状春／OR","鼻炎様症状春／p値"
"＜調査年＞","","0.940","","0.886","","0.878","","0.767","","0.481","","0.053"
"＜調査年＞／7年度","-0.008","","-0.030","","-0.041","","0.003","","-0.035","","0.044",""
"＜調査年＞／8年度","0.042","","-0.048","","0.014","","-0.021","","-0.015","","-0.116",""
"＜調査年＞／9年度","-0.071","","0.108","","0.056","","-0.056","","-0.042","","0.033",""
"＜調査年＞／10年度","0.075","","0.061","","0.014","","0.005","","-0.026","","-0.024",""
"＜調査年＞／11年度","-0.038","","-0.091","","-0.043","","0.070","","0.118","","0.064",""
"＜地区＞","","0.395","","0.260","","0.649","","0.686","","0.002","","0.000"
"＜地区＞／青梅市","-0.147","","-0.047","","0.044","","-0.031","","-0.137","","0.325",""
"＜地区＞／東大和市","-0.212","","-0.241","","0.009","","0.033","","-0.328","","-0.126",""
"＜地区＞／八王子市","0.212","","0.040","","0.062","","-0.025","","-0.014","","0.363",""
"＜地区＞／中野区","-0.087","","0.047","","0.081","","-0.012","","0.114","","-0.088",""
"＜地区＞／豊島区","0.078","","-0.069","","-0.149","","0.115","","0.151","","-0.138",""
"＜地区＞／品川区","-0.020","","-0.095","","-0.067","","-0.004","","0.079","","-0.218",""
"＜地区＞／足立区","0.176","","0.366","","0.019","","-0.075","","0.136","","-0.119",""
"学年","0.87","0.052","0.97","0.758","0.83","0.000","0.98","0.524","1.04","0.295","1.13","0.000"
"転居あり","1.43","0.004","1.35","0.035","0.99","0.832","1.27","0.000","1.14","0.041","1.01","0.733"
"兄弟数３人以上","1.28","0.044","1.20","0.196","0.96","0.605","1.15","0.027","1.01","0.843","0.92","0.063"
"母親の喫煙歴","1.03","0.830","1.02","0.899","0.96","0.624","0.82","0.015","0.97","0.736","0.87","0.014"
"二車線道路直面","1.49","0.003","1.49","0.009","0.95","0.575","1.19","0.012","1.02","0.804","0.99","0.851"
"鉄筋住宅","0.85","0.210","0.94","0.695","0.87","0.056","1.12","0.076","1.01","0.830","0.94","0.177"
"非排気型暖房器具使用","1.07","0.589","0.86","0.282","1.19","0.014","1.05","0.410","1.14","0.042","1.08","0.067"
"２歳以前の呼吸器疾患","2.58","0.000","3.13","0.000","1.71","0.000","2.87","0.000","1.66","0.000","1.50","0.000"
"母乳栄養","1.08","0.537","1.04","0.773","1.01","0.902","1.12","0.055","0.99","0.893","1.00","0.955"
"アレルギー歴","3.81","0.000","3.29","0.000","3.02","0.000","6.62","0.000","1.82","0.000","1.77","0.000"
"性","1.78","0.000","1.69","0.000","1.38","0.000","1.62","0.000","1.48","0.000","1.16","0.000"
