"種別","名称","郵便番号","所在地","緯度","経度","座標系","電話番号"
"老人福祉センターA","区民ひろば南池袋","171-0022","豊島区南池袋3-5-12","35.723572","139.714096","JGD2011","03-3984-5896"
"老人福祉センターB","区民ひろばさくら第一","171-0052","豊島区南長崎6-20-15","35.729729","139.681107","JGD2011","03-3950-8676"
"老人福祉センターB","区民ひろば富士見台","171-0052","豊島区南長崎1-6-1","35.723804","139.691757","JGD2011","03-3950-6871"
"老人福祉センターB","区民ひろば南大塚","170-0005","豊島区南大塚2-36-1","35.728771","139.730331","JGD2011","03-5976-4399"
"老人福祉センターB","区民ひろば朋有","170-0013","豊島区東池袋2-38-10","35.732029","139.721313","JGD2011","03-3971-0781"
"老人福祉センターB","区民ひろば西巣鴨第一","170-0001","豊島区西巣鴨2-35-3","35.740498","139.727737","JGD2011","03-3918-4197"
"老人福祉センターB","区民ひろば長崎","171-0051","豊島区長崎2-27-18","35.729504","139.693298","JGD2011","03-3554-4411"
"老人福祉センターB","区民ひろば高南第一","171-0033","豊島区高田2-11-2","35.715408","139.714584","JGD2011","03-3988-8601"
"老人福祉センターB","区民ひろば清和第一","170-0002","豊島区巣鴨3-15-20","35.735512","139.733917","JGD2011","03-5974-5464"
"老人福祉センターB","区民ひろば駒込","170-0003","豊島区駒込2-2-4","35.737057","139.746658","JGD2011","03-3917-9873"
"老人福祉センターB","区民ひろば上池袋","170-0012","豊島区上池袋3-13-5","35.739899","139.716827","JGD2011","03-3576-6916"
"老人福祉センターB","区民ひろば千早","171-0043","豊島区要町3-7-10","35.737194","139.687210","JGD2011","03-3959-2281"
"老人福祉センターB","区民ひろば池袋本町","170-0011","豊島区池袋本町3-9-4","35.743683","139.712555","JGD2011","03-3986-0041"
"老人福祉センターB","区民ひろば池袋","171-0014","豊島区池袋4-21-10","35.738529","139.708710","JGD2011","03-3982-9658"
"老人福祉センターB","区民ひろば西池袋","171-0021","豊島区西池袋2-37-4","35.727669","139.706528","JGD2011","03-3980-0088"
"老人福祉センターB","区民ひろば高松","171-0042","豊島区高松2-25-9","35.738792","139.697388","JGD2011","03-3973-0032"
