"支出月","科目","支出目的","支出額(円)","支出相手先"
"H24/04","委託料","交付金支払関連事務","490200","東京都国民健康保険団体連合会"
"H24/04","郵券(上半期）","実績報告の周知等","413080","郵便事業（株）"
"H24/04","物件費","宛名ラベル","6930","(株)第一文真堂"
"H24/04","物件費","封筒","3415","(福)東京コロニー"
"H24/05","人件費","労働派遣（4月）","1100191","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/05","委託料","交付金支払関連事務","601940","東京都国民健康保険団体連合会"
"H24/05","物件費","宛名ラベル","1386","(株)第一文真堂"
"H24/05","物件費","封筒","7455","(福)東京コロニー"
"H24/06","人件費","労働派遣（5月）","2000713","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/06","委託料","交付金支払関連事務","580290","東京都国民健康保険団体連合会"
"H24/07","人件費","労働派遣（6月）","1968819","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/07","人件費","臨時職員賃金（6月）","540000","臨時職員"
"H24/07","委託料","交付金支払関連事務","512120","東京都国民健康保険団体連合会"
"H24/07","物件費","クリアファイル","79170","(株)ミクニ商会"
"H24/08","人件費","臨時職員賃金（7月）","2129760","臨時職員"
"H24/08","物件費","宛名ラベル","1386","(株)第一文真堂"
"H24/08","委託料","交付金支払関連事務","22680","東京都国民健康保険団体連合会"
"H24/09","人件費","臨時職員賃金（8月）","2476960","臨時職員"
"H24/09","物件費","ロッカー借入","46473","(株)創環"
"H24/10","人件費","臨時職員賃金（9月）","1451840","臨時職員"
"H24.10","郵券(下半期）","実績報告の周知等","41660","郵便事業（株）"
"H24/11","人件費","臨時職員賃金（10月）","1569280","臨時職員"
"","","","16045748",""
