"上段：度数／下段：%","n=","正規職員","有期契約職員フルタイム","有期契約職員パートタイム","無回答"
"ＴＯＴＡＬ","8214","4702","886","2536","90"
"ＴＯＴＡＬ","100","57.2","10.8","30.9","1.1"
"性別・年代／女性計","7526","4227","811","2407","81"
"性別・年代／女性計","100","56.2","10.8","32.0","1.1"
"性別・年代／女性２０代","3297","2782","248","238","29"
"性別・年代／女性２０代","100","84.4","7.5","7.2","0.9"
"性別・年代／女性３０代","1612","861","195","543","13"
"性別・年代／女性３０代","100","53.4","12.1","33.7","0.8"
"性別・年代／女性４０代","1560","384","214","941","21"
"性別・年代／女性４０代","100","24.6","13.7","60.3","1.3"
"性別・年代／女性５０代以上","1005","181","149","659","16"
"性別・年代／女性５０代以上","100","18.0","14.8","65.6","1.6"
"性別・年代／男性計","380","323","35","18","4"
"性別・年代／男性計","100","85.0","9.2","4.7","1.1"
"性別・年代／男性２０代","281","241","26","11","3"
"性別・年代／男性２０代","100","85.8","9.3","3.9","1.1"
"性別・年代／男性３０代以上","99","82","9","7","1"
"性別・年代／男性３０代以上","100","82.8","9.1","7.1","1.0"
"性別・年代／無回答","308","152","40","111","5"
"性別・年代／無回答","100","49.4","13.0","36.0","1.6"
