"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢","1.034","1.017","1.051","1.012","1.056","0.00007"
"2)居住年数","0.987","0.977","0.996","0.974","0.999","0.00499"
"3)性別","","","","","","0.00054"
"3)性別／男","1","","","","",""
"3)性別／女","0.534","0.374","0.762","0.334","0.852",""
"4)都市区分","","","","","","0.75775"
"4)都市区分／多摩市","1","","","","",""
"4)都市区分／その他","1.083","0.652","1.801","0.555","2.113",""
"5)本人アレルギー","","","","","","0.00632"
"5)本人アレルギー／なし","1","","","","",""
"5)本人アレルギー／あり","1.531","1.128","2.078","1.024","2.287",""
"6)家族アレルギー","","","","","","0.16145"
"6)家族アレルギー／なし","1","","","","",""
"6)家族アレルギー／あり","1.239","0.918","1.671","0.836","1.836",""
"7)住宅構造","","","","","","0.15829"
"7)住宅構造／木造","1","","","","",""
"7)住宅構造／鉄筋・鉄骨","0.803","0.592","1.089","0.538","1.199",""
"8)じゅうたん・カ－ペットの使用","","","","","","0.13262"
"8)じゅうたん・カ－ペットの使用／なし","1","","","","",""
"8)じゅうたん・カ－ペットの使用／あり","0.802","0.601","1.069","0.549","1.171",""
"9)居間・寝室のカビ","","","","","","0.01961"
"9)居間・寝室のカビ／なし","1","","","","",""
"9)居間・寝室のカビ／あり","1.536","1.071","2.202","0.956","2.467",""
"10)部屋の窓（換気）","","","","","","0.41429"
"10)部屋の窓（換気）／よく開ける","1","","","","",""
"10)部屋の窓（換気）／開けない","1.174","0.798","1.727","0.707","1.949",""
"11)暖房形態","","","","","","0.29753"
"11)暖房形態／クリーン型","1","","","","",""
"11)暖房形態／ダーティ型","1.186","0.861","1.633","0.778","1.806",""
"12)暖房中の換気","","","","","","0.47074"
"12)暖房中の換気／あり","1","","","","",""
"12)暖房中の換気／なし","0.863","0.579","1.287","0.511","1.459",""
"13)暖房器具の熱源","","","","","","0.23033"
"13)暖房器具の熱源／電気","1","","","","",""
"13)暖房器具の熱源／ガス","0.694","0.382","1.261","0.316","1.521",""
"14)ペットの室内飼育","","","","","","0.94162"
"14)ペットの室内飼育／なし","1","","","","",""
"14)ペットの室内飼育／あり","0.987","0.704","1.385","0.633","1.54",""
"15)粉塵職場の経験","","","","","","0.00523"
"15)粉塵職場の経験／なし","1","","","","",""
"15)粉塵職場の経験／あり","2.11","1.249","3.564","1.06","4.202",""
"16)自動車排ガス関連の職業経験","","","","","","0.59993"
"16)自動車排ガス関連の職業経験／なし","1","","","","",""
"16)自動車排ガス関連の職業経験／あり","1.133","0.71","1.808","0.613","2.094",""
"17)喫煙習慣","","","","","","0.00432"
"17)喫煙習慣／非喫煙","1","","","","",""
"17)喫煙習慣／以前喫煙","1.423","0.965","2.099","0.854","2.371",""
"17)喫煙習慣／現喫煙","0.739","0.498","1.098","0.44","1.243",""
"18)家庭内受動喫煙","","","","","","0.06927"
"18)家庭内受動喫煙／なし","1","","","","",""
"18)家庭内受動喫煙／あり","1.339","0.977","1.835","0.885","2.026",""
"19)職場の受動喫煙","","","","","","0.90215"
"19)職場の受動喫煙／なし","1","","","","",""
"19)職場の受動喫煙／あり","0.979","0.699","1.372","0.628","1.525",""
"20)距離区分","","","","","","0.30704"
"20)距離区分／201m以上","1","","","","",""
"20)距離区分／0～50m","1.401","0.925","2.121","0.812","2.416",""
"20)距離区分／51～100m","1.05","0.65","1.696","0.56","1.972",""
"20)距離区分／101～150m","1.456","0.958","2.212","0.84","2.522",""
"20)距離区分／151～200m","1.235","0.772","1.974","0.666","2.288",""
