"","総数","施設管理者のみ／施設数","施設管理者のみ／割合","施設管理者や看護師など一部の職員／施設数","施設管理者や看護師など一部の職員／割合","常勤の職員のみ／施設数","常勤の職員のみ／割合","すべての職員／施設数","すべての職員／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1497","18","1.2","318","21.2","485","32.4","557","37.2","32","2.1","87","5.8"
"認証保育所＊","471","34","7.2","47","10.0","125","26.5","232","49.3","3","0.6","30","6.4"
"認定こども園＊","85","3","3.5","7","8.2","31","36.5","38","44.7","1","1.2","5","5.9"
"幼稚園＊","562","55","9.8","73","13.0","176","31.3","222","39.5","11","2.0","25","4.4"
"ベビーホテル","279","18","6.5","14","5.0","59","21.1","158","56.6","9","3.2","21","7.5"
"家庭的保育","303","131","43.2","7","2.3","18","5.9","102","33.7","18","5.9","27","8.9"
"学童保育","1051","6","0.6","20","1.9","254","24.2","716","68.1","20","1.9","35","3.3"
"上記以外の施設","321","23","7.2","20","6.2","45","14.0","204","63.6","14","4.4","15","4.7"
"総数","4569","288","6.3","506","11.1","1193","26.1","2229","48.8","108","2.4","245","5.4"
"＊前回調査施設 (再掲）","2615","110","4.2","445","17.0","817","31.2","1049","40.1","47","1.8","147","5.6"
