"","喫煙","以前喫煙","非喫煙・受動","非喫煙"
"対象者数","290","6460","554","7359"
"症状１","274","6117","532","7001"
"%","94.48","94.69","96.03","95.14"
"症状２","273","6166","538","7122"
"%","94.14","95.45","97.11","96.78"
"症状３","253","5845","509","6816"
"%","87.24","90.48","91.88","92.62"
"症状４","269","5794","515","6713"
"%","92.76","89.69","92.96","91.22"
"症状５","282","6290","541","7178"
"%","97.24","97.37","97.65","97.54"
"（軽症）間欠型","76","1230","198","1990"
"%","26.21","19.04","35.74","27.04"
"軽症持続型","103","2286","229","2825"
"%","35.52","35.39","41.34","38.39"
"中等症持続型","80","2278","123","2059"
"%","27.59","35.26","22.2","27.98"
"重症持続型","31","648","4","471"
"%","10.69","10.03","0.72","6.4"
"アレ・ダニ・陽性","206","3681","475","5562"
"%","71.03","56.98","85.74","75.58"
"アレ・ダニ・擬陽性","10","164","5","118"
"%","3.45","2.54","0.9","1.6"
"アレ・ダニ・陰性","60","2270","63","1398"
"%","20.69","35.14","11.37","19"
"アレ・ハウスダスト・陽性","201","3494","449","5209"
"%","69.31","54.09","81.05","70.78"
"アレ・ハウスダスト・擬陽性","7","165","5","119"
"%","2.41","2.55","0.9","1.62"
"アレ・ハウスダスト・陰性","59","2204","59","1362"
"%","20.34","34.12","10.65","18.51"
