種別,施設名称,施設の目的及び対象者,担当部課名,連絡先
老人福祉施設,老人福祉センター（A型）,①生活相談・健康相談　②生業及び就労の指導　③機能回復訓練の実施　④教養講座等の実施　⑤老人クラブに対する援助　⑥入浴サービス事業等,福祉保健局　高齢社会対策部　在宅支援課,５３２０－４２７５（直通）／３３－５８１（内線）
老人福祉施設,老人福祉センター（B型）,Ａ型センターの機能を補完する小型の老人福祉センター　①各種相談　②教養講座等の実施　③老人クラブに対する援助,福祉保健局　高齢社会対策部　在宅支援課,５３２０－４２７５（直通）／３３－５８１（内線）
保育所,認可保育所,保護者の労働又は疾病その他の事由により、保育を必要とする乳児・幼児を日々保護者の下から通わせて保育を行う。,福祉保健局／少子社会対策部／保育支援課,５３２０－４１２８（直通）／３２－７８２（内線）
児童福祉施設等,助産施設,保健上必要があるにもかかわらず、経済的理由により病産院等で入院分べんが困難な妊産婦を対象に、入院助産を行う。,福祉保健局／少子社会対策部／家庭支援課,５３２０－４３７５（直通）／３２－６７３（内線）
児童福祉施設等,乳児院,乳児（保健上、安定した生活環境の確保その他の理由により特に必要のある場合には、幼児を含む。）を入院させて、これを養育し、あわせて退院した者について相談その他の援助を行う。,福祉保健局／少子社会対策部／育成支援課,５３２０－４１３６（直通）／３２－６５５（内線）
児童福祉施設等,母子生活支援施設,配偶者のない女子又はこれに準ずる事情にある女子及びその者の監護すべき児童を入所させ、これらの者を保護するとともに、これらの者の自立の促進のためにその生活を支援する。,福祉保健局／少子社会対策部／育成支援課,５３２０－４１２５（直通）／３２－６１１（内線）
児童福祉施設等,児童養護施設,保護者のいない児童（乳児を除く。ただし、安定した生活環境の確保その他の理由により特に必要のある場合には、乳児を含む。）、虐待されている児童その他環境上養護を要する児童を入所させて、これを養護し、あわせて退所した者に対する相談その他の自立のための援助を行う。,福祉保健局／少子社会対策部／育成支援課,５３２０－４１２２（直通）／３２－６５１（内線）
児童福祉施設等,児童自立支援施設,不良行為をなし、又はなすおそれのある児童及び、家庭環境その他の環境上の理由により、生活指導等を要する児童を入所させ、又は保護者の下から通わせて、個々の児童の状況に応じて必要な指導を行い、その自立を支援し、あわせて退所した者について相談その他の援助を行う。,福祉保健局／少子社会対策部／育成支援課,５３２０－４５５０（直通）／３２－６５６（内線）
児童福祉施設等,児童館,屋内に集会室、遊戯室、図書室等必要な設備を設け、児童に健全な遊びを与える。,福祉保健局／少子社会対策部／家庭支援課,５３２０－４３７１（直通）／３２－６８７（内線）
児童福祉施設等,自立援助ホーム,義務教育終了後に、児童養護施設等を退所し就職する児童等に、社会的に自立するよう援助する。,福祉保健局／少子社会対策部／育成支援課,５３２０－４５５０（直通）／３２－６５６（内線）
婦人保護施設,婦人保護施設,自立のための援助を必要とする女性を入所させ、就労及び生活に関する指導等を行うことにより、その自立を支援する。,東京都女性相談センター,５２６１－３９１１（直通）
障害者支援施設等,障害者スポーツセンター,障害者の健康増進と社会参加の促進を図るため、スポーツ・レクリエーション、講習会等の場を提供する。,オリンピック・パラリンピック準備局／スポーツ推進部／調整課,５３２０－７８４０（直通）／３８－２７７（内線）
障害者支援施設等,補装具製作施設,無料又は低額な料金で、補装具の製作又は修理を行う。,福祉保健局／障害者施策推進部／施設サービス支援課,５３２０－４１４６（直通）／３３－１５７（内線）
障害者支援施設等,盲導犬訓練施設,無料又は低額な料金で、身体障害者補助犬（盲導犬、介助犬、聴導犬）の訓練を行うとともに、身体障害者の利用に対し必要な訓練を行う。,福祉保健局／障害者施策推進部／計画課,５３２０－４１４７（直通）／３３－２４１（内線）
障害者支援施設等,点字図書館,無料又は低額な料金で、点字刊行物及び視覚障害者用の録音物を視覚障害者の利用に供与する。,福祉保健局／障害者施策推進部／計画課,５３２０－４１４７（直通）／３３－２４１（内線）
障害者支援施設等,点字出版施設,無料又は低額な料金で、点字刊行物を出版する。,福祉保健局／障害者施策推進部／計画課,５３２０－４１４７（直通）／３３－２４１（内線）
障害者支援施設等,聴覚障害者情報提供施設,無料又は低額な料金で、聴覚障害者用録画物その他を聴覚障害者の利用に供与する。,福祉保健局／障害者施策推進部／計画課,５３２０－４１４７（直通）／３３－２４１（内線）
障害者支援施設等,盲人ホーム,あん摩師免許、はり師免許又はきゅう師免許を有する視覚障害者であって、自営し、又は雇用されることの困難なものに施設を利用させ、必要な技術の指導を行う。,福祉保健局／障害者施策推進部／計画課,５３２０－４１４７（直通）／３３－２４１（内線）
障害者支援施設等,福祉ホーム,障害者に、低額な料金で、居室等を提供するとともに、日常生活に必要な利便を提供し、障害者の地域生活を支援する。,福祉保健局／障害者施策推進部／地域生活支援課,５３２０－４１５１（直通）／３３－２６２（内線）
