"サービスの種類","事項","単位","H26年度実績","H27年度見込み","H27年度実績","H28年度見込み","H28年度実績","H29年度見込み"
"訪問系サービス／居宅介護／重度訪問介護／同行援護／行動援護／重度障害者等包括支援","サービス量","時間","837021","909206","848195","948740","867733","990517"
"訪問系サービス／居宅介護／重度訪問介護／同行援護／行動援護／重度障害者等包括支援","利用者数","人","19408","21096","20091","22009","20639","22926"
"日中活動系サービス／生活介護","サービス量","人日分","397720","406150","407552","419823","416847","433497"
"日中活動系サービス／生活介護","利用者数","人","19712","20803","20139","21504","20589","22204"
"日中活動系サービス／自立訓練（機能訓練）","サービス量","人日分","3474","3943","3031","4076","3221","4209"
"日中活動系サービス／自立訓練（機能訓練）","利用者数","人","365","407","321","421","318","434"
"日中活動系サービス／自立訓練（生活訓練）","サービス量","人日分","13818","14196","14791","14673","14603","15151"
"日中活動系サービス／自立訓練（生活訓練）","利用者数","人","1070","1131","1132","1169","1126","1207"
"日中活動系サービス／就労移行支援","サービス量","人日分","45125","43375","51202","44836","56044","46296"
"日中活動系サービス／就労移行支援","利用者数","人","2746","2713","3097","2805","3355","2896"
"日中活動系サービス／就労継続支援（Ａ型）","サービス量","人日分","25121","22082","31736","22825","38623","23569"
"日中活動系サービス／就労継続支援（Ａ型）","利用者数","人","1292","1176","1629","1215","2011","1255"
"日中活動系サービス／就労継続支援（Ｂ型）","サービス量","人日分","320494","298895","330884","308958","342893","319019"
"日中活動系サービス／就労継続支援（Ｂ型）","利用者数","人","19269","18994","20041","19633","20738","20273"
"日中活動系サービス／（計）","サービス量","人日分","805752","788641","839196","815191","872231","841741"
"日中活動系サービス／（計）","利用者数","人","44454","45224","46359","46747","48137","48269"
"日中活動系サービス／療養介護","利用者数","人","1248","1291","1273","1308","1315","1327"
"日中活動系サービス／短期入所","サービス量","人日分","29811","32049","32108","34408","35457","36767"
"日中活動系サービス／短期入所","利用者数","人","3981","4273","4273","4588","4688","4902"
"居住系サービス／共同生活援助（グループホーム）","利用者数","人","7979","8418","8692","9085","9223","9751"
"居住系サービス／施設入所支援","利用者数","人","8560","8587","8556","8523","8571","8487"
"相談支援／計画相談支援","利用者数","人","6815","10638","9009","11809","9787","12893"
"相談支援／地域移行支援","利用者数","人","60","207","55","242","96","258"
"相談支援／地域定着支援","利用者数","人","131","229","153","292","201","372"
