"","全ての職員(%)","常勤の職員のみ(%)","施設管理者や看護師等一部の職員(%)","施設管理者のみ(%)","その他(%)","置き場所無回答(%)","マニュアルを知らない・無回答(%)"
"全施設（n=5348）","41.7","22.3","9.5","5.4","2.0","4.6","14.6"
"認可保育所＊（n=1588）","35.1","30.5","20.0","1.1","2.0","5.5","5.7"
"認証保育所＊（n=527）","44.0","23.7","8.9","6.5","0.6","5.7","10.6"
"認定こども園＊（n=95）","40.0","32.6","7.4","3.2","1.1","5.3","10.5"
"幼稚園＊（n=666）","33.3","26.4","11.0","8.3","1.7","3.8","15.6"
"ベビーホテル（n=331）","47.7","17.8","4.2","5.4","2.7","6.3","15.7"
"家庭的保育（n=596）","17.1","3.0","1.2","22.0","3.0","4.5","49.2"
"学童保育（n=1169）","61.2","21.7","1.7","0.5","1.7","3.0","10.1"
"上記以外の施設（n=376）","54.3","12.0","5.3","6.1","3.7","4.0","14.6"
"＊前回調査施設 （再掲）（n=2876）","36.5","28.4","15.5","3.8","1.6","5.1","9.1" 
