"年・死因別","総数／総数(件)","総数／男(件)","総数／女(件)","総数／不詳(件)","1病気／総数(件)","1病気／男(件)","1病気／女(件)","2交通事故／総数(件)","2交通事故／男(件)","2交通事故／女(件)","3転倒・転落／総数(件)","3転倒・転落／男(件)","3転倒・転落／女(件)","4溺死／総数(件)","4溺死／男(件)","4溺死／女(件)","5煙・火災・火炎による傷害／総数(件)","5煙・火災・火炎による傷害／男(件)","5煙・火災・火炎による傷害／女(件)","6窒息／総数(件)","6窒息／男(件)","6窒息／女(件)","7中毒／総数(件)","7中毒／男(件)","7中毒／女(件)","8その他／総数(件)","8その他／男(件)","8その他／女(件)","9自殺／総数(件)","9自殺／男(件)","9自殺／女(件)","10他殺／総数(件)","10他殺／男(件)","10他殺／女(件)","11その他及び不詳の外因／総数(件)","11その他及び不詳の外因／男(件)","11その他及び不詳の外因／女(件)","12不詳の死／総数(件)","12不詳の死／男(件)","12不詳の死／女(件)","13当院以外の司法解剖等／総数(件)","13当院以外の司法解剖等／男(件)","13当院以外の司法解剖等／女(件)","",""
"平成24年","13949","8715","5232","2","9799","5992","3807","195","140","55","253","171","82","165","75","90","69","47","22","261","137","124","72","46","26","138","84","54","1807","1182","625","1","1","","170","109","61","706","541","163","2","313","190","123",""
"平成25年","13593","8638","4955","","9295","5746","3549","172","124","48","259","169","90","135","75","60","48","30","18","262","144","118","80","40","40","220","147","73","1866","1238","628","3","2","1","131","85","46","828","631","197","","294","207","87",""
"平成26年","13301","8486","4813","2","9158","5735","3423","154","111","43","282","175","107","135","75","60","46","24","22","266","133","133","62","34","28","123","85","38","1747","1154","593","","","","115","67","48","838","651","186","1","375","242","132","1"
"平成27年","13425","8627","4797","1","9173","5707","3466","163","114","49","292","197","95","100","59","41","42","24","18","263","141","122","50","28","22","169","110","59","1638","1125","513","","","","106","66","40","1025","816","209","","404","240","163","1"
"千代田区","62","35","27","","33","14","19","1","1","","2","1","1","","","","","","","2","1","1","1","1","","","","","12","10","2","","","","2","2","","6","4","2","","3","1","2",""
"中央区","135","72","63","","97","48","49","2","2","","2","","2","1","1","","1","1","","","","","","","","","","","14","7","7","","","","3","3","","8","7","1","","7","3","4",""
"港区","235","129","106","","166","95","71","3","2","1","5","3","2","1","1","","","","","4","2","2","1","","1","4","2","2","30","16","14","","","","2","","2","13","8","5","","6","","6",""
"新宿区","489","297","192","","313","188","125","3","","3","10","10","","4","2","2","3","3","","7","2","5","1","1","","8","5","3","77","42","35","","","","4","2","2","47","36","11","","12","6","6",""
"文京区","247","149","98","","177","110","67","2","1","1","7","3","4","1","1","","","","","8","2","6","2","1","1","","","","31","18","13","","","","1","1","","15","10","5","","3","2","1",""
"台東区","336","228","108","","231","147","84","3","1","2","6","3","3","5","5","","","","","6","4","2","1","1","","6","5","1","39","29","10","","","","1","1","","34","28","6","","4","4","",""
