"上段：度数／下段：%","n=","３０分未満","３０分～１時間未満","１時間以上","無回答","平均値"
"ＴＯＴＡＬ","2871","268","1405","245","953","33.6"
"ＴＯＴＡＬ","100","9.3","48.9","8.5","33.2",""
"性別・年代／女性計","2641","254","1316","216","855","33.3"
"性別・年代／女性計","100","9.6","49.8","8.2","32.4",""
"性別・年代／女性２０代","634","57","283","68","226","34.8"
"性別・年代／女性２０代","100","9.0","44.6","10.7","35.6",""
"性別・年代／女性３０代","961","91","518","59","293","32.5"
"性別・年代／女性３０代","100","9.5","53.9","6.1","30.5",""
"性別・年代／女性４０代","590","70","303","51","166","32.6"
"性別・年代／女性４０代","100","11.9","51.4","8.6","28.1",""
"性別・年代／女性５０代以上","425","34","193","35","163","34.1"
"性別・年代／女性５０代以上","100","8.0","45.4","8.2","38.4",""
"性別・年代／男性計","86","3","21","17","45","43.6"
"性別・年代／男性計","100","3.5","24.4","19.8","52.3",""
"性別・年代／男性２０代","51","1","15","9","26","42.8"
"性別・年代／男性２０代","100","2.0","29.4","17.6","51.0",""
"性別・年代／男性３０代以上","35","2","6","8","19","44.7"
"性別・年代／男性３０代以上","100","5.7","17.1","22.9","54.3",""
"性別・年代／無回答","144","11","68","12","53","34.2"
"性別・年代／無回答","100","7.6","47.2","8.3","36.8",""
