"","はい","いいえ"
"対象者数","1382","12182"
"症状１","1309","11584"
"%","94.72","95.09"
"症状２","1330","11730"
"%","96.24","96.29"
"症状３","1277","11188"
"%","92.40","91.84"
"症状４","1264","11037"
"%","91.46","90.60"
"症状５","1345","11888"
"%","97.32","97.59"
"（軽症）間欠型","344","2929"
"%","24.89","24.04"
"軽症持続型","516","4562"
"%","37.34","37.45"
"中等症持続型","417","3707"
"%","30.17","30.43"
"重症持続型","98","957"
"%","7.09","7.86"
"アレ・ダニ・陽性","996","8271"
"%","72.07","67.90"
"アレ・ダニ・擬陽性","32","236"
"%","2.32","1.94"
"アレ・ダニ・陰性","289","3146"
"%","20.91","25.82"
"アレ・ハウスダスト・陽性","941","7764"
"%","68.09","63.73"
"アレ・ハウスダスト・擬陽性","28","243"
"%","2.03","1.99"
"アレ・ハウスダスト・陰性","289","3046"
"%","20.91","25.00"
