"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","富士見町、柴崎町","南部西ふじみ地域包括支援センター","ﾅﾝﾌﾞﾆｼﾌｼﾞﾐﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-540-0311","042-548-1747","190-0013","立川市富士見町2-36-47 社会福祉協議会内","35.701580","139.402008","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","〇","","","","〇",""
"2","羽衣町、錦町","南部東はごろも地域包括支援センター","ﾅﾝﾌﾞﾋｶﾞｼﾊｺﾞﾛﾓﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-523-5612","042-523-5613","190-0021","立川市羽衣町1-12-18 羽衣地域福祉サービスセンター内","35.697369","139.425613","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","〇","","","","〇",""
"3","高松町、曙町、緑町","中部たかまつ地域包括支援センター","ﾁｭｳﾌﾞﾀｶﾏﾂﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-540-2031","042-522-1636","190-0011","立川市高松町2-27-27 TBK第2高松ビル105号","35.704739","139.418625","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","〇","","","","〇",""
"4","若葉町、栄町","北部東わかば地域包括支援センター","ﾎｸﾌﾞﾋｶﾞｼﾜｶﾊﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-538-1221","042-538-1222","190-0001","立川市若葉町3-45-2 老人保健施設わかば内","35.719658","139.441452","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","〇","","","","〇",""
"5","幸町、柏町、砂川町、泉町","北部中さいわい地域包括支援センター","ﾎｸﾌﾞﾅｶｻｲﾜｲﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-538-2339","042-538-1302","190-0002","立川市幸町4-14-1 至誠キートスホーム内","35.724712","139.428299","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","〇","","","","〇",""
"6","上砂町、一番町、西砂町","北部西かみすな地域包括支援センター","ﾎｸﾌﾞﾆｼｶﾐｽﾅﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-536-9910","042-536-9953","190-0032","立川市上砂町5-76-4 砂川園内","35.730007","139.389557","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","〇","","","","〇",""
"7","市内全域","にしき福祉相談センター","ﾆｼｷﾌｸｼｿｳﾀﾞﾝｾﾝﾀｰ","042-527-0321","042-527-0322","190-0022","立川市錦町6-28-15 至誠ホーム内","35.685169","139.416306","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","","〇","〇","","〇",""
"8","市内全域","かみすな福祉相談センター","ｶﾐｽﾅﾌｸｼｿｳﾀﾞﾝｾﾝﾀｰ","042-537-7799","042-536-7182","190-0032","立川市上砂町1-13-1 上砂地域福祉サービスセンター内","35.720753","139.388092","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","","〇","〇","","〇",""
"9","市内全域","にしすな福祉相談センター","ﾆｼｽﾅﾌｸｼｿｳﾀﾞﾝｾﾝﾀｰ","042-531-5550","042-531-3451","190-0034","立川市西砂町5-5-5 西砂ホーム内","35.731091","139.363205","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜日〕9時～17時（祝日を除く。）","","","〇","〇","","〇",""
"10","市内全域","立川市見守りホットライン","ﾀﾁｶﾜｼﾐﾏﾓﾘﾎｯﾄﾗｲﾝ","042-506-0024","042-522-2481","190-8666","立川市泉町1156-9 立川市役所","35.715286","139.406281","JGD2011","通年24時間（夜間・休日は受付のみ）","高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口","","","","〇","〇",""
"11","市内全域","立川市役所","ﾀﾁｶﾜｼﾔｸｼｮ","042-523-2111／（代表）","042-522-2481","190-8666","立川市泉町1156-9","35.715286","139.406281","JGD2011","通年24時間（夜間・休日は受付のみ）","高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口","","","","〇","〇",""
"12","市全域","立川市消費生活センター","ﾀﾁｶﾜｼｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","042-528-6810","042-528-6805","190-0012","立川市曙町2-36-2 立川市女性総合センター5F","35.701874","139.414169","JGD2011","平日9時～16時（12時～13時を除く。）","","","","","〇","","〇"
