"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","全域","小平市高齢者支援課地域支援担当","ｺﾀﾞｲﾗｼｺｳﾚｲｼｬｼｴﾝｶﾁｲｷｼｴﾝﾀﾝﾄｳ","042-346-9539","042-346-9498","187-8701","小平市小川町2-1333","35.729321","139.476929","JGD2011","平日8時30分～17時15分","","","","","〇","〇",""
"2","小川東町、小川町2丁目、学園東町1丁目","小平市地域包括支援センター中央センター","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾁｭｳｵｳｾﾝﾀｰ","042-345-0691","042-345-0697","187-8701","小平市小川町2-1333","35.729321","139.476929","JGD2011","月～土曜日8時30分～17時15分※","","〇","","","","〇",""
"3","栄町1~3丁目、中島町、小川町1丁目、たかの台、津田町1丁目、上水新町1~3丁目、上水本町1丁目","小平市地域包括支援センターけやきの郷","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｹﾔｷﾉｻﾄ","042-349-2321","042-345-5348","187-0032","小平市小川町1-485","35.728409","139.440674","JGD2011","平日8時30分～17時15分／土曜日8時30分～17時00分（各種申請受付、緊急時の相談のみ）／9時～17時","","〇","","","","〇",""
"4","栄町1~3丁目、中島町、小川町1丁目、たかの台、津田町1丁目、上水新町1~3丁目、上水本町1丁目","小平市地域包括支援センターけやきの郷 たかの台出張所","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｹﾔｷﾉｻﾄﾀｶﾉﾀﾞｲｼｭｯﾁｮｳｼﾞｮ","042-316-3367","042-316-3367","187-0025","小平市津田町1-7-10","35.725746","139.463150","JGD2011","平日9時～17時","","","〇","","","〇",""
"5","小川西町1~5丁目、小川東町1~5丁目、津田町2~3丁目、学園西町1~3丁目、上水本町2~6丁目","小平市地域包括支援センター小川ホーム","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｵｶﾞﾜﾎｰﾑ","042-347-6033","042-347-5900","187-0035","小平市小川西町2-35-2","35.737125","139.460754","JGD2011","月～土曜日8時30分～17時15分※","","〇","","","","〇",""
"6","小川西町1~5丁目、小川東町1~5丁目、津田町2~3丁目、学園西町1~3丁目、上水本町2~6丁目","小平市地域包括支援センター小川ホーム 四小通り出張所","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｵｶﾞﾜﾎｰﾑﾖﾝｼｮｳﾄﾞｵﾘｼｭｯﾁｮｳｼﾞｮ","042-347-6600","042-347-6600","187-0025","小平市津田町3-38-7","35.724014","139.470901","JGD2011","平日9時～17時","","","〇","","","〇",""
"7","美園町1～3丁目、大沼町1~7丁目、仲町、学園東町2~3丁目、学園東町、喜平町1~3丁目、上水南町1~4丁目","小平市地域包括支援センター多摩済生ケアセンター","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾀﾏｻｲｾｲｹｱｾﾝﾀｰ","042-349-2123","042-342-1535","187-0041","小平市美園町3-12-1","35.740219","139.490341","JGD2011","月～土曜日8時30分～17時15分※","","〇","","","","〇",""
"8","美園町1～3丁目、大沼町1~7丁目、仲町、学園東町2~3丁目、学園東町、喜平町1~3丁目、上水南町1~4丁目","小平市地域包括支援センター多摩済生ケアセンター 喜平橋出張所","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾀﾏｻｲｾｲｹｱｾﾝﾀｰｷﾍｲﾊﾞｼｼｭｯﾁｮｳｼﾞｮ","042-359-2831","042-359-2831","187-0021","小平市上水南町2-23-20","35.714790","139.487808","JGD2011","平日9時～17時","","","〇","","","〇",""
"9","花小金井1~8丁目、天神町1~4丁目、鈴木町1~2丁目、花小金井南町1~3丁目、回田町、御幸町","小平市地域包括支援センター小平健成苑","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｺﾀﾞｲﾗｹﾝｾｲｴﾝ","042-451-8813","042-452-7702","187-0011","小平市鈴木町2-230-3","35.724255","139.504379","JGD2011","月～土曜日8時30分～17時15分※","","〇","","","","〇",""
"10","花小金井1~8丁目、天神町1~4丁目、鈴木町1~2丁目、花小金井南町1~3丁目、回田町、御幸町","小平市地域包括支援センター小平健成苑 花小金井出張所","ｺﾀﾞｲﾗｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｺﾀﾞｲﾗｹﾝｾｲｴﾝﾊﾅｺｶﾞﾈｲｼｭｯﾁｮｳｼﾞｮ","042-468-5143","042-468-2312","187-0002","小平市花小金井5-37-4","35.731026","139.509979","JGD2011","平日9時～17時","","","〇","","","〇",""
"11","市内全域","小平市消費生活センター","ｺﾀﾞｲﾗｼｼｮｳﾋｾｲｶﾂｼｴﾝｾﾝﾀｰ","042-346-9550","","187-8701","小平市小川町2-1333","35.729321","139.476929","JGD2011","平日9時～16時","","","","","〇","","〇"
