"","総数","アレルギー対策委員会やアレルギー専門委員会を設置している／施設数","アレルギー対策委員会やアレルギー専門委員会を設置している／割合","特にアレルギー対策委員会等は設置していないが、別な会議を代用している／施設数","特にアレルギー対策委員会等は設置していないが、別な会議を代用している／割合","健康・安全に関する担当者を決めている／施設数","健康・安全に関する担当者を決めている／割合","特に何も決めていない／施設数","特に何も決めていない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","187","11.8","807","50.8","982","61.8","104","6.5","66","4.2"
"認証保育所＊","527","16","3.0","269","51.0","166","31.5","123","23.3","33","6.3"
"認定こども園＊","95","4","4.2","42","44.2","51","53.7","19","20.0","5","5.3"
"幼稚園＊","666","12","1.8","227","34.1","264","39.6","234","35.1","22","3.3"
"ベビーホテル","331","11","3.3","97","29.3","104","31.4","131","39.6","13","3.9"
"家庭的保育","596","1","0.2","27","4.5","51","8.6","366","61.4","154","25.8"
"学童保育","1169","35","3.0","323","27.6","231","19.8","565","48.3","76","6.5"
"上記以外の施設","376","6","1.6","109","29.0","106","28.2","172","45.7","19","5.1"
"総数","5348","272","5.1","1901","35.5","1955","36.6","1714","32.0","388","7.3"
"＊前回調査施設 (再掲）","2876","219","7.6","1345","46.8","1463","50.9","480","16.7","126","4.4"
