,訓練開始者数(人),訓練修了等状況／修了者計(人),訓練修了等状況／修了者計／うち就業（注）(人),訓練修了等状況／中途退所者計(人),訓練修了等状況／中途退所者計／うち就業（注）(人)
知識・技能習得訓練コース／計,365,324,110,41,11
知識・技能習得訓練コース／うち身体障害者,103,88,20,15,7
知識・技能習得訓練コース／うち知的障害者,54,50,21,4,2
知識・技能習得訓練コース／うち精神障害者,177,158,65,19,2
知識・技能習得訓練コース／うち発達障害者,41,38,10,3,1
知識・技能習得訓練コース／うちその他,14,12,2,2,1
実践能力習得訓練コース／計,79,76,41,3,0
実践能力習得訓練コース／うち身体障害者,3,3,0,0,0
実践能力習得訓練コース／うち知的障害者,30,28,19,2,0
実践能力習得訓練コース／うち精神障害者,35,33,15,2,0
実践能力習得訓練コース／うち発達障害者,13,13,7,0,0
実践能力習得訓練コース／うちその他,3,3,1,0,0
e-ラーニング訓練コース／計,6,5,2,1,0
e-ラーニング訓練コース／うち身体障害者,5,4,1,1,0
e-ラーニング訓練コース／うち知的障害者,0,0,0,0,0
e-ラーニング訓練コース／うち精神障害者,1,1,1,0,0
e-ラーニング訓練コース／うち発達障害者,0,0,0,0,0
e-ラーニング訓練コース／うちその他,1,1,0,0,0
総計／計,450,405,153,45,11
総計／うち身体障害者,111,95,21,16,7
総計／うち知的障害者,84,78,40,6,2
総計／うち精神障害者,213,192,81,21,2
総計／うち発達障害者,54,51,17,3,1
総計／うちその他,18,16,3,2,1
