"","合算分／多数該当分","合算分／その他","単独分／多数該当分","単独分／長期疾病分","単独分／入院分","単独分／その他","他法併用分","合計","現物配給分(再掲)"
"総数／件数(件)","10505","31043","19039","27333","57195","17617","33884","196616","130970"
"総数／高額療養費(円)","423670918","602767811","1974791309","2334503538","8858800201","857063990","2213270851","17264868618","14838430168"
"(再掲)前期高齢者分／件数(件)","4998","25648","5910","9825","19558","11922","23392","101253",""
"(再掲)前期高齢者分／高額療養費(円)","148052086","286613529","618545094","759298980","3231180803","411410910","629016909","6084118311",""
"(再掲)70歳以上一般分／件数(件)","1218","18930","14","3217","6456","8622","21469","59926",""
"(再掲)70歳以上一般分／高額療養費(円)","8419590","112772747","54901","196150723","891463614","226406320","375727264","1810995159",""
"(再掲)70歳以上現役並み／件数(件)","1035","4250","431","1227","2613","1633","458","11647",""
"(再掲)70歳以上現役並み／高額療養費(円)","28335832","60121670","56569954","112190387","436146483","81552306","38053237","812969869",""
"(再掲)未就学児分／件数(件)","100","282","80","21","1832","53","1319","3687",""
"(再掲)未就学児分／高額療養費(円)","5841523","18118384","5345921","4273527","171454621","7966809","303963417","516964202",""
"長期高額疾病該当者数","","","","","","","","1569",""
