"(単位 人)","全国／離婚件数","全国／離婚率(人口千対)","東京都／離婚件数","東京都／離婚率(人口千対)"
"H10","243183","1.94","25685","2.21"
"H11","250529","2.00","26375","2.27"
"H12","264246","2.10","27032","2.28"
"H13","285911","2.27","28593","2.40"
"H14","289836","2.30","28780","2.40"
"H15","283854","2.25","28211","2.34"
"H16","270804","2.15","27123","2.24"
"H17","261917","2.08","26984","2.19"
"H18","257475","2.04","26347","2.12"
"H19","254832","2.02","26627","2.13"
"H20","251136","1.99","26300","2.10"
"H21","253353","2.01","26804","2.13"
"H22","251378","1.99","26335","2.05"
"H23","235719","1.87","24927","1.94"
"H24","235406","1.87","25329","1.96"
"H25","231383","1.84","24855","1.92"
