"上段：度数／下段：%","n=","配偶者有・子供有","配偶者有・子供無","配偶者無・子供有","配偶者無・子供無","無回答"
"ＴＯＴＡＬ","15369","6589","1442","733","5806","799"
"ＴＯＴＡＬ","100","42.9","9.4","4.8","37.8","5.2"
"性別・年代／女性計","14059","6189","1358","670","5175","667"
"性別・年代／女性計","100","44.0","9.7","4.8","36.8","4.7"
"性別・年代／女性２０代","5708","640","508","58","4207","295"
"性別・年代／女性２０代","100","11.2","8.9","1.0","73.7","5.2"
"性別・年代／女性３０代","3634","2180","563","166","594","131"
"性別・年代／女性３０代","100","60.0","15.5","4.6","16.3","3.6"
"性別・年代／女性４０代","2861","2053","205","236","257","110"
"性別・年代／女性４０代","100","71.8","7.2","8.2","9.0","3.8"
"性別・年代／女性５０代以上","1751","1266","75","202","101","107"
"性別・年代／女性５０代以上","100","72.3","4.3","11.5","5.8","6.1"
"性別・年代／男性計","701","128","52","5","458","58"
"性別・年代／男性計","100","18.3","7.4","0.7","65.3","8.3"
"性別・年代／男性２０代","473","31","29","1","368","44"
"性別・年代／男性２０代","100","6.6","6.1","0.2","77.8","9.3"
"性別・年代／男性３０代以上","226","97","22","4","90","13"
"性別・年代／男性３０代以上","100","42.9","9.7","1.8","39.8","5.8"
"性別・年代／無回答","609","272","32","58","173","74"
"性別・年代／無回答","100","44.7","5.3","9.5","28.4","12.2"
