"","21","22","23","24","25"
"設置区市町村数(区市、区市町)","45","47","48","49","49"
"登録者数（実人数）(人)","10128","11453","12335","14336","17566"
"登録者数/身体(人)","1662","1884","1923","2092","2328"
"登録者数/知的(人)","5455","6330","6862","7941","9354"
"登録者数/精神(人)","2557","3396","3756","4554","5469"
"登録者数/その他(人)","923","1378","1397","1763","873"
"就職者数（実人数）(人)","989","1274","1374","1630","1745"
"就職者数/身体(人)","131","154","144","162","175"
"就職者数/知的(人)","502","639","740","804","817"
"就職者数/精神(人)","343","457","477","646","779"
"就職者数/その他(人)","13","26","20","18","62"
