"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","無回答(%)","サンプル数","平均"
"(1)勤務日数","14.3","36.2","17.2","16.5","8.0","3.2","","3.3","8214","1.2"
"(2)勤務時間","10.4","29.2","18.0","19.5","9.6","5.1","","5.5","8214","0.8"
"(3)給与・賞与等","3.0","11.6","12.8","14.9","16.9","16.3","15.4","9.1","8214","-0.6"
"(4)自宅からの通勤時間（片道）","24.9","29.3","14.9","12.0","7.7","3.2","","7.0","8214","1.4"
"(5)職場の人間関係","13.1","32.1","23.7","14.7","7.7","4.8","","","8214","1.0"
"(6)保護者や地域との関係性","7.4","29.5","26.6","28.2","4.2","","","","8214","1.0"
"(7)その他労働条件","3.4","7.4","6.8","11.5","8.8","8.8","10.7","42.6","8214","-0.5"
"(8)園（など）の理念や運営方針","7.6","24.3","22.2","27.3","8.8","5.2","","","8214","0.7"
"(9)上司（園長等）から自分への評価","6.5","25.6","20.8","35.0","4.8","3.1","","","8214","0.8"
"(10)保育士としての仕事全体の「やりがい」度","14.7","32.5","26.5","16.0","5.5","","","","8214","1.2"
