"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)"
"療養の給付等","1004011","21282955315","14886409744","5922600218","473945353"
"食事療養(再掲)","10218","238360590","154022752","82917038","1420800"
"療養費等／食事療養","15","","36700","-36700","0"
"療養費等／療養費／療養費","468","9300895","6321038","2979857","0"
"療養費等／療養費／補装具","493","19067816","13358420","5254895","454501"
"療養費等／療養費／柔道整復師","35003","312386051","219356235","92234297","795519"
"療養費等／療養費／アンマ・マッサージ","1244","39636685","27746191","10984144","906350"
"療養費等／療養費／ハリ・キュウ","1418","19511036","13615628","5744616","150792"
"療養費等／療養費／その他","23","145920","102144","43776","0"
"療養費等／療養費／小計","38649","400048403","280499656","117241585","2307162"
"療養費等／療養費／海外療養費(再掲)","39","2296011","1607202","688809","0"
"療養費等／移送費","1","58161","58161","0","0"
"計","1042676","21683061879","15167004261","6039805103","476252515"
