"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","深大寺東町1・4～8丁目、深大寺北町、深大寺元町","調布市地域包括支援センターはなみずき","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾊﾅﾐｽﾞｷ","042-441-5763","042-441-5764","182-0011","調布市深大寺北町4-17-7","35.679989","139.551575","JGD2011","〔月曜日～金曜日〕8時30分～18時／〔土曜日・祝日〕8時30分～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"2","富士見町、西町、野水、飛田給1丁目、上石原1丁目、下石原1丁目","調布市地域包括支援センターちょうふの里","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾁｮｳﾌﾉｻﾄ","042-441-6655","042-441-6657","182-0032","調布市西町290-5","35.666344","139.522690","JGD2011","〔月曜日～金曜日〕9時～18時／〔土曜日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"3","飛田給2・3丁目、上石原2・3丁目、多摩川、染地1丁目","調布市地域包括支援センターせいじゅ","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｾｲｼﾞｭ","042-483-1358","042-483-1369","182-0035","調布市上石原3-54-2","35.650040","139.524780","JGD2011","〔月曜日～金曜日〕9時～18時／〔土曜日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"4","小島町2・3丁目、布田3～6丁目、下石原2・3丁目","調布市地域包括支援センターちょうふ花園","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾁｮｳﾌｶｴﾝ","042-484-2285","042-484-2286","182-0034","調布市下石原3-44-1","35.651432","139.533188","JGD2011","〔月曜日～金曜日〕9時～19時／〔土曜・日曜・祝日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"5","小島町1丁目、布田1･2丁目、八雲台、佐須町3丁目、調布ヶ丘","調布市地域包括支援センター調布八雲苑","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾁｮｳﾌﾔｸﾞﾓｴﾝ","042-484-8011","042-484-8032","182-0015","調布市八雲台1-22-1 1階","35.654781","139.553162","JGD2011","〔月曜日～金曜日〕9時～18時／〔土曜日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"6","柴崎、菊野台1丁目、深大寺南町、深大寺東町2・3丁目、佐須町1・2・4・5丁目","調布市地域包括支援センター至誠しばさき","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼｾｲｼﾊﾞｻｷ","042-488-1300","042-488-8831","182-0007","調布市菊野台1-52-4","35.655369","139.565491","JGD2011","〔月曜日～金曜日〕9時～18時／〔土曜日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"7","染地2・3丁目、国領町7・8丁目（8丁目1・4番地を除く）","調布市地域包括支援センターときわぎ国領","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾄｷﾜｷﾞｺｸﾘｮｳ","050-5540-0860","042-433-6488","182-0022","調布市国領町７-32-2 デュスモン国領 101","35.644749","139.560547","JGD2011","月曜日～土曜日9時～18時(年末年始を除く。)","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"8","菊野台2・3丁目、国領町1～6丁目、国領町8丁目1･4番地","調布市地域包括支援センターゆうあい","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾕｳｱｲ","042-481-4973","042-483-4378","182-0022","調布市国領町3-8-1","35.650097","139.560684","JGD2011","〔月曜日～金曜日〕9時～18時／〔土曜日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"9","東つつじヶ丘、西つつじヶ丘、入間町2・3丁目","調布市地域包括支援センターつつじヶ丘","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾂﾂｼﾞｶﾞｵｶ","03-5315-5400","03-5315-2577","182-0005","調布市東つつじヶ丘1-5-2","35.659683","139.576248","JGD2011","〔月曜日～金曜日〕8時30分～18時／〔土曜日〕8時30分～17時30分（祝日・年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
"10","仙川町、緑ヶ丘、若葉町、入間町1丁目","調布市地域包括支援センター仙川","ﾁｮｳﾌｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｾﾝｶﾞﾜ","03-5314-0030","03-5314-0031","182-0003","調布市若葉町2-22-2 1階","35.655972","139.589172","JGD2011","〔月曜日～金曜日〕9時～18時／〔土曜・祝日〕9時～17時（年末年始を除く。）","高齢者だけでなく、障害者や生活困窮者等要支援者の総合的な通報受付窓口","〇","","","","〇",""
