"","総数","該当する園児・児童がいない／施設数","該当する園児・児童がいない／割合","人手がないので参加できない／施設数","人手がないので参加できない／割合","日程が合わない／施設数","日程が合わない／割合","独自に情報を収集している／施設数","独自に情報を収集している／割合","平成24年度以前に研修を受けた／施設数","平成24年度以前に研修を受けた／割合","参加する必要性を感じない／施設数","参加する必要性を感じない／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","135","10","7.4","17","12.6","56","41.5","29","21.5","40","29.6","","","18","13.3","29","21.5"
"認証保育所＊","97","7","7.2","25","25.8","52","53.6","18","18.6","21","21.6","","","14","14.4","9","9.3"
"認定こども園＊","20","1","5.0","6","30.0","12","60.0","3","15.0","3","15.0","","","3","15.0","2","10.0"
"幼稚園＊","301","78","25.9","45","15.0","129","42.9","62","20.6","20","6.6","12","4.0","32","10.6","28","9.3"
"ベビーホテル","142","45","31.7","51","35.9","64","45.1","13","9.2","17","12.0","3","2.1","24","16.9","5","3.5"
"家庭的保育","410","192","46.8","115","28.0","135","32.9","37","9.0","26","6.3","9","2.2","61","14.9","62","15.1"
"学童保育","193","48","24.9","38","19.7","72","37.3","26","13.5","28","14.5","1","0.5","29","15.0","18","9.3"
"上記以外の施設","164","36","22.0","59","36.0","77","47.0","34","20.7","17","10.4","2","1.2","24","14.6","12","7.3"
"総数","1462","417","28.5","356","24.4","597","40.8","222","15.2","172","11.8","27","1.8","205","14.0","165","11.3"
"＊前回調査施設 (再掲）","553","96","17.4","93","16.8","249","45.0","112","20.3","84","15.2","12","2.2","67","12.1","68","12.3"
