"","合計","主介護者として介護を行っていた","補佐的に、介護を行っていた","介護には関与していた","高齢者本人には介護は不要だった","わからない","無回答"
"担当ケアマネジャー(回答数)","1991","1207","233","266","137","122","26"
"担当ケアマネジャー(%)","100.0","60.6","11.7","13.4","6.9","6.1","1.3"
"居宅介護支援(回答数)","1365","824","161","188","89","82","21"
"居宅介護支援(%)","100.0","60.4","11.8","13.8","6.5","6.0","1.5"
"地域型在宅介護支援センター(回答数)","1117","586","124","155","141","97","14"
"地域型在宅介護支援センター(%)","100.0","52.5","11.1","13.9","12.6","8.7","1.3"
"基幹型在宅介護支援センター(回答数)","532","254","43","72","111","43","9"
"基幹型在宅介護支援センター(%)","100.0","47.7","8.1","13.5","20.9","8.1","1.7"
"訪問介護(回答数)","307","161","41","41","20","37","7"
"訪問介護(%)","100.0","52.4","13.4","13.4","6.5","12.1","2.3"
"訪問看護(回答数)","336","244","34","33","7","15","3"
"訪問看護(%)","100.0","72.6","10.1","9.8","2.1","4.5","0.9"
"通所介護(回答数)","512","294","64","65","34","52","3"
"通所介護(%)","100.0","57.4","12.5","12.7","6.6","10.2","0.6"
"病院(回答数)","55","25","4","9","8","6","3"
"病院(%)","100.0","45.5","7.3","16.4","14.5","10.9","5.5"
"老人保健施設(回答数)","227","129","24","21","17","33","3"
"老人保健施設(%)","100.0","56.8","10.6","9.3","7.5","14.5","1.3"
"都道府県保健所(回答数)","37","13","0","6","9","7","2"
"都道府県保健所(%)","100.0","35.1","0.0","16.2","24.3","18.9","5.4"
"政令、中核、特別区保健所(回答数)","124","57","7","9","28","19","4"
"政令、中核、特別区保健所(%)","100.0","46.0","5.6","7.3","22.6","15.3","3.2"
"市町村保健センター(回答数)","265","130","19","35","56","24","1"
"市町村保健センター(%)","100.0","49.1","7.2","13.2","21.1","9.1","0.4"
