"施策の体系","重点的取組","数値目標","計画番号","事業名","所管局","平成17年度実績","平成18年度実績","平成19年度実績","平成20年度実績","平成21年度実績","重点戦略通し番号"
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(1)相談体制と子育て支援ネットワークの強化","★","●","1","子ども家庭支援センター事業","福祉保健局","52区市町（59か所）","56区市町（62か所）","57区市町村","58区市町村","58区市町村",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(1)相談体制と子育て支援ネットワークの強化","★","●","2","先駆型子ども家庭支援センター事業","福祉保健局","21区市（子ども家庭支援センターの内数）","30区市1町（子ども家庭支援センターの内数）","43区市1町","46区市1町","48区市１町",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(1)相談体制と子育て支援ネットワークの強化","★","●","3","子ども家庭総合センター（仮称）の整備","福祉保健局","「子ども家庭支援センター（仮称）基本構想」策定","基本設計実施","実施設計実施","実施設計実施","建築関係法令に基づく申請・届出、工事発注・契約手続等",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(1)相談体制と子育て支援ネットワークの強化","","●","4","子育てひろば事業","福祉保健局","418か所","527か所","611か所","686か所","687か所",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(1)相談体制と子育て支援ネットワークの強化","","","5","４１５２(よいこに)電話","福祉保健局","相談受理件数　10240件","相談受理件数　9784件","相談受理件数　8315件","相談受理件数　8031件","相談受理件数　8151件",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(2)母子の健康支援の充実","","","6","電話相談「母と子の健康相談室」（小児救急相談）","福祉保健局","相談受理件数　20272件","相談件数　19319件","相談受理件数　20954件","相談受理件数　25221件","相談受理件数　30224件",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(2)母子の健康支援の充実","","","7","生涯を通じた女性の健康支援事業","福祉保健局","女性のための健康ホットライン　634件／不妊ホットライン　555件","女性のための健康ホットライン　533件／不妊ホットライン　535件","女性のための健康ホットライン　574件／不妊ホットライン　534件","女性のための健康ホットライン　556件／不妊ホットライン　409件","女性のための健康ホットライン　679件／不妊ホットライン　365件",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(2)母子の健康支援の充実","","","8","病気の子どもをもつ親への支援「病気の子どもピアカウンセリング事業」","福祉保健局","相談受理件数　８件","相談件数　６２件","相談受理件数　11件","相談受理件数　2件","事業廃止",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(2)母子の健康支援の充実","","","9","食を通じた子どもの健全育成","教育庁 福祉保健局","（教育庁）○「公立学校における食育に関する検討委員会」設置（3月）／（福祉保健局）○幼稚園における食教育等調査：1065園対象のうち763園から回収（回収率71.6%）／○幼児の健康習慣調査：幼稚園、保育園各12園1482人を対象に実施し、1254人から回収（回収率84.6%）","（教育庁）○「公立学校における食育に関する検討委員会報告書」（7月）に基づき、／○「都立学校における食育の推進に関する指針」（2月）を作成。食育の目標と基本方針、学校における食育の指導体制、学校・家庭・地域の連携等について示した。／（福祉保健局）○幼稚園・保育所等の職員向け講習会　17区8都保健所で実施／○親子食育教室実施（モデル事業）　４地区で実施","(教育庁)○「食に関する指導資料集改訂版」を１月に作成。／（福祉保健局）○技術支援／・幼稚園、保育所等の職員向け講習会の開催　22回／・親子食育教室等の開催支援　83回／○普及啓発／・都民に対する普及啓発等　12回","（教育庁）○食育推進モデル地区／・栄養教諭制度を導入（区市４名、都立１名）／○食育研究指定校の指定（2区市指定　1地区：小・中・高・特別支援各1校計4校　合計8校）／（福祉保健局）○技術支援／・幼稚園、保育所等の職員向け講習会の開催　4回／・親子食育教室等の開催支援　72回／○普及啓発／・都民に対する普及啓発等　16回","（教育庁）○食育研究指定地区／・栄養教諭（５区５市に１０名、都立１名）を配置／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配付／（福祉保健局）○技術支援／・幼稚園、保育所等の職員向け講習会の開催　1回／・親子食育教室等の開催支援　94回／・栄養士・管理栄養士養成施設向け講習の実施　1回／○普及啓発／・都民に対する普及啓発等　6回",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(2)母子の健康支援の充実","","","10","母子保健研修","福祉保健局","９回実施","10回実施","９回実施","10回実施","10回実施",""
"目標１地域で安心して子育てができる新たな仕組みづくり／（1）子育てに関する相談支援体制の充実／(2)母子の健康支援の充実","","","11","医療保健政策区市町村包括補助事業","福祉保健局","補助金交付確定額　379488千円","補助金交付額　400303千円","補助金交付確定額　１５６５７１４千円","補助金交付確定額　1553320千円","補助金交付確定額　1679925千円",""
