"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","HOPE神田","一般社団法人ホープＩＴ訓練センター","千代田区","03-5256-1411","山本","http://www.hope-it.or.jp/","info@hope-it.or.jp","輪ゴムの袋詰め","箱・袋詰め","100個","300個","ご相談ください","未定","自力での納品可","無","無","有","1つ1つ正確に計量し袋詰めします。輪ゴム以外の商品の袋詰めもお気軽にご相談ください。"
"2","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","商品の検品・封入","箱・袋詰め","50","1000","要相談","1円～／1工程","発注元による回収希望","無","無","有","製品の検品、封入、発送までの全ての工程を請負っております。単価に関しましては案件ごとに異なりますので、お気軽にご相談ください。"
"3","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","タオル折り、のし掛け、ポリ袋入れ","箱・袋詰め","1枚","1000枚","４日","5円/枚","発注元による回収希望","無","有","有",""
"4","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","箱組立て","箱・袋詰め","1枚","200個","2日","20円/個","発注元による回収希望","無","無","有",""
"5","オフィスクローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","商品の袋詰め","箱・袋詰め","100セット","3000セット","5日間","1セット10円","発注元による回収希望","無","無","有","イベントで配布するもののセット組などできます。ビーズなどの小物のOPP袋への封入や、カルチャー教室のキットのセット作業を受託しています。"
"6","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","軽作業・検品・梱包","箱・袋詰め","","300個","１日","30円～","自力での納品可","無","有","有","検品・箱折り・封入・梱包など軽作業全般を請負います。"
"7","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","箱・袋詰め","箱・袋詰め","1点袋詰1個","1点袋詰の場合500個/日","土日祝を除く5日間","1工程1円～","発注元による回収希望","無","無","有","短納期・大量数に関しては、近隣事業所と共同受注で対応することも出来ます。"
"8","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","軽作業・検品・梱包","箱・袋詰め","","300個","１日","30円～","自力での納品可","無","有","有","検品・箱折り・封入・梱包など軽作業全般を請負います。"
"9","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","軽作業・検品・梱包","箱・袋詰め","","300個","１日","30円～","自力での納品可","無","有","有","検品・箱折り・封入・梱包など軽作業全般を請負います。"
"10","は～と・ピア２","社会福祉法人文京槐の会","文京区","03-6801-8571","市川","http://www.enjunokai.com/","heartpia2@enjunokai.com","箸の袋入れ","箱・袋詰め","500膳","２０００膳","１日","１円/１膳","自力での納品可","無","無","無",""
"11","ワークプレイスぶんぶん","武蔵野会","文京区","03-5940-2822","近藤","https://team-lien.com/","kondo@team-lien.com","部品、食品等のパッキング","箱・袋詰め","100","120","７日","50円","自力での納品可","無","無","有",""
"12","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","箱・袋詰め","箱・袋詰め","","12000","20日","4円","自力での納品可","無","無","有","衛生面に注意して封入梱包しています。"
"13","本郷福祉センター若駒の里","太陽福祉協会","文京区","03-3823-8091","根本亜紀","","","ビーズ","箱・袋詰め","600","650","２ヶ月","3","自力での納品可","無","無","有","アイロンビーズ"
"14","本郷福祉センター若駒の里","太陽福祉協会","文京区","03-3823-8091","根本亜紀","","","ノズル","箱・袋詰め","20","30","１ヶ月","440","発注元による回収希望","無","無","有","工業用ボンドの先端"
"15","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","箸・おしぼりセット","箱・袋詰め","1","300","１週間","４円","自力での納品可","無","無","有","宅配チェーン店で使用するはしセットの作成をしています。"
"16","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","箱の組み立て、箱詰め、袋詰め","箱・袋詰め","1000組","250000組","一週間～応相談","応相談","自力での納品可","無","無","有","商品やノベルティ等の箱の組み立て、箱詰め、袋詰めを請け負っています。単価や納期などお気軽にご相談ください。"
"17","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","アクセサリーのタグ付け、値段シール貼、検品、袋詰め","箱・袋詰め","数百","5000個","2日から10日","素材、販売予定単価により変動、￥1.0～5円","発注元による回収希望","無","無","有","実績：定期的に受注、"
