"上段：度数／下段：%","n=","事務・雑務の軽減","勤務シフトの改善","未消化（有給等）休暇の改善","給与・賞与等の改善","雇用の安定化（正社員登用）","職員数の増員","職員間のコミュニケーション","権限範囲の拡大","責任範囲の縮小","評価制度の見直し","園（など）の理念や運営方針","相談体制の充実","研修機会の充実","その他","特にない","無回答"
"ＴＯＴＡＬ","8214","2864","2248","2585","4849","1031","3321","1670","286","995","617","1042","1111","1129","628","673","168"
"ＴＯＴＡＬ","100","34.9","27.4","31.5","59.0","12.6","40.4","20.3","3.5","12.1","7.5","12.7","13.5","13.7","7.6","8.2","2.0"
"性別・年代／女性計","7526","2624","2081","2378","4399","940","3032","1510","248","917","561","949","1008","1028","583","629","148"
"性別・年代／女性計","100","34.9","27.7","31.6","58.5","12.5","40.3","20.1","3.3","12.2","7.5","12.6","13.4","13.7","7.7","8.4","2.0"
"性別・年代／女性２０代","3297","1406","1014","1379","2137","297","1521","742","98","473","230","388","460","352","254","174","43"
"性別・年代／女性２０代","100","42.6","30.8","41.8","64.8","9.0","46.1","22.5","3.0","14.3","7.0","11.8","14.0","10.7","7.7","5.3","1.3"
"性別・年代／女性３０代","1612","598","492","547","1022","240","684","311","51","204","157","215","235","255","133","114","19"
"性別・年代／女性３０代","100","37.1","30.5","33.9","63.4","14.9","42.4","19.3","3.2","12.7","9.7","13.3","14.6","15.8","8.3","7.1","1.2"
"性別・年代／女性４０代","1560","398","372","263","769","246","534","269","62","158","119","209","207","254","114","187","41"
"性別・年代／女性４０代","100","25.5","23.8","16.9","49.3","15.8","34.2","17.2","4.0","10.1","7.6","13.4","13.3","16.3","7.3","12.0","2.6"
"性別・年代／女性５０代以上","1005","209","188","177","443","149","271","181","37","73","53","131","103","163","76","150","43"
"性別・年代／女性５０代以上","100","20.8","18.7","17.6","44.1","14.8","27.0","18.0","3.7","7.3","5.3","13.0","10.2","16.2","7.6","14.9","4.3"
"性別・年代／男性計","380","138","79","132","267","53","170","88","25","40","35","50","62","61","26","17","9"
"性別・年代／男性計","100","36.3","20.8","34.7","70.3","13.9","44.7","23.2","6.6","10.5","9.2","13.2","16.3","16.1","6.8","4.5","2.4"
"性別・年代／男性２０代","281","99","56","97","197","36","124","62","13","28","21","38","42","35","14","14","8"
"性別・年代／男性２０代","100","35.2","19.9","34.5","70.1","12.8","44.1","22.1","4.6","10.0","7.5","13.5","14.9","12.5","5.0","5.0","2.8"
"性別・年代／男性３０代以上","99","39","23","35","70","17","46","26","12","12","14","12","20","26","12","3","1"
"性別・年代／男性３０代以上","100","39.4","23.2","35.4","70.7","17.2","46.5","26.3","12.1","12.1","14.1","12.1","20.2","26.3","12.1","3.0","1.0"
"性別・年代／無回答","308","102","88","75","183","38","119","72","13","38","21","43","41","40","19","27","11"
"性別・年代／無回答","100","33.1","28.6","24.4","59.4","12.3","38.6","23.4","4.2","12.3","6.8","14.0","13.3","13.0","6.2","8.8","3.6"
