"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","628","1993","1823","2246","723","429","192","180","0.7"
"ＴＯＴＡＬ","100","7.6","24.3","22.2","27.3","8.8","5.2","2.3","2.2",""
"性別・年代／女性計","7526","570","1855","1684","2043","659","380","183","152","0.7"
"性別・年代／女性計","100","7.6","24.6","22.4","27.1","8.8","5.0","2.4","2.0",""
"性別・年代／女性２０代","3297","292","812","744","889","282","157","79","42","0.7"
"性別・年代／女性２０代","100","8.9","24.6","22.6","27.0","8.6","4.8","2.4","1.3",""
"性別・年代／女性３０代","1612","112","385","352","447","145","100","46","25","0.6"
"性別・年代／女性３０代","100","6.9","23.9","21.8","27.7","9.0","6.2","2.9","1.6",""
"性別・年代／女性４０代","1560","102","413","339","411","142","75","39","39","0.7"
"性別・年代／女性４０代","100","6.5","26.5","21.7","26.3","9.1","4.8","2.5","2.5",""
"性別・年代／女性５０代以上","1005","61","233","236","285","84","46","16","44","0.7"
"性別・年代／女性５０代以上","100","6.1","23.2","23.5","28.4","8.4","4.6","1.6","4.4",""
"性別・年代／男性計","380","32","75","81","108","38","27","4","15","0.6"
"性別・年代／男性計","100","8.4","19.7","21.3","28.4","10.0","7.1","1.1","3.9",""
"性別・年代／男性２０代","281","25","56","63","79","25","19","3","11","0.7"
"性別・年代／男性２０代","100","8.9","19.9","22.4","28.1","8.9","6.8","1.1","3.9",""
"性別・年代／男性３０代以上","99","7","19","18","29","13","8","1","4","0.5"
"性別・年代／男性３０代以上","100","7.1","19.2","18.2","29.3","13.1","8.1","1.0","4.0",""
"性別・年代／無回答","308","26","63","58","95","26","22","5","13","0.6"
"性別・年代／無回答","100","8.4","20.5","18.8","30.8","8.4","7.1","1.6","4.2",""
